"team_name","age","wins","losses","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_mp","opp_fg_pct","opp_avg_dist","opp_fg2a_pct_fga","opp_pct_fga_00_03","opp_pct_fga_03_10","opp_pct_fga_10_16","opp_pct_fga_16_xx","opp_fg3a_pct_fga","opp_fg2_pct","opp_fg_pct_00_03","opp_fg_pct_03_10","opp_fg_pct_10_16","opp_fg_pct_16_xx","opp_fg3_pct","opp_fg2_pct_ast","opp_pct_fg2_dunk","opp_fg2_dunk","opp_pct_fg2_layup","opp_fg2_layup","opp_fg3_pct_ast","opp_pct_fg3a_corner","opp_fg3_pct_corner","opp_fg","opp_fga","opp_fg3","opp_fg3a","opp_fg2","opp_fg2a","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","fg_pct","avg_dist","fg2a_pct_fga","pct_fga_00_03","pct_fga_03_10","pct_fga_10_16","pct_fga_16_xx","fg3a_pct_fga","fg2_pct","fg_pct_00_03","fg_pct_03_10","fg_pct_10_16","fg_pct_16_xx","fg3_pct","fg2_pct_ast","pct_fg2_dunk","fg2_dunk","pct_fg2_layup","fg2_layup","fg3_pct_ast","pct_fg3a_corner","fg3_pct_corner","fg3a_heave","fg3_heave","fg","fga","fg3","fg3a","fg2","fg2a","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","W_PCT","HOME_RECORD","ROAD_RECORD","L10","CurrentStreak"
"Golden State Warriors",28.2,67,15,67,15,11.63,-0.28,11.35,115.6,104,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.485,13.5,74.9,0.198,19780,0.435,13.1,0.689,0.297,0.157,0.096,0.138,0.311,0.485,0.622,0.373,0.369,0.4,0.324,0.511,0.052,343,0.252,1042,0.826,0.203,0.35,38.8,89.2,9,27.8,29.8,61.4,17.7,23.2,0.761,11.8,31.9,43.6,22.7,8.6,3.8,15.5,19.4,104.3,0.495,14,0.641,0.303,0.102,0.107,0.129,0.359,0.557,0.69,0.408,0.43,0.469,0.383,0.656,0.075,500,0.235,1018,0.831,0.208,0.408,30,1,43.1,87.1,12,31.3,31.1,55.8,17.8,22.6,0.788,9.4,35,44.4,30.4,9.6,6.8,14.8,19.3,115.9,0.817,0.878048780487805,0.75609756097561,0.9,1
"San Antonio Spurs",29.6,61,21,60,22,7.2,-0.06,7.13,111.1,103.5,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,19805,0.443,12.7,0.716,0.295,0.163,0.104,0.153,0.284,0.483,0.597,0.368,0.414,0.434,0.344,0.508,0.054,326,0.252,916,0.832,0.245,0.33,37,83.4,8.1,23.7,28.8,59.7,16,20.8,0.771,9.8,31.7,41.5,21.4,7.5,4,14.4,19.8,98.1,0.469,13.3,0.719,0.254,0.16,0.116,0.19,0.281,0.5,0.645,0.428,0.391,0.432,0.391,0.525,0.047,292,0.215,864,0.874,0.269,0.432,12,0,39.3,83.7,9.2,23.5,30.1,60.2,17.6,22,0.797,10,33.9,43.9,23.8,8,5.9,13.4,18.3,105.3,0.744,0.75609756097561,0.731707317073171,0.5,-3
"Houston Rockets",27.4,55,27,55,27,5.77,0.08,5.84,114.7,109,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,19780,0.463,13.3,0.672,0.291,0.164,0.08,0.137,0.328,0.522,0.689,0.411,0.39,0.374,0.343,0.508,0.051,356,0.259,1184,0.832,0.233,0.37,41.2,88.9,10,29.1,31.2,59.7,17.3,22.2,0.778,10.7,33.4,44.1,24.1,8.5,5,15.1,20.4,109.6,0.462,14.3,0.538,0.32,0.125,0.042,0.051,0.462,0.552,0.667,0.393,0.372,0.373,0.357,0.547,0.076,483,0.269,1146,0.769,0.202,0.39,14,0,40.3,87.2,14.4,40.3,25.9,46.9,20.3,26.5,0.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,0.671,0.731707317073171,0.609756097560976,0.5,1
"Los Angeles Clippers",30,51,31,52,30,4.29,0.13,4.42,112.7,108.2,96.1,0.312,0.329,0.575,0.537,12.1,21.5,0.233,0.506,12.2,76.9,0.211,19755,0.452,13.5,0.692,0.261,0.154,0.118,0.159,0.308,0.498,0.658,0.428,0.404,0.37,0.349,0.526,0.052,338,0.224,920,0.827,0.219,0.377,38.6,85.4,9.2,26.3,29.4,59.1,18,23.4,0.772,10.2,32.9,43.1,23.1,7.1,3.2,13.2,22.4,104.4,0.475,14.1,0.671,0.275,0.118,0.081,0.196,0.329,0.525,0.661,0.419,0.422,0.44,0.375,0.494,0.067,414,0.222,879,0.786,0.198,0.422,16,2,39.5,83.2,10.3,27.4,29.3,55.8,19.3,26,0.745,9,34,43.1,22.5,7.5,4.3,13,19.8,108.7,0.622,0.707317073170732,0.536585365853659,0.8,7
"Utah Jazz",26.8,51,31,52,30,3.94,0.06,4,109.6,105.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,19755,0.443,12.7,0.721,0.293,0.164,0.112,0.153,0.279,0.476,0.595,0.392,0.381,0.406,0.358,0.409,0.049,288,0.244,883,0.775,0.189,0.383,36.3,82,8.2,22.9,28.1,59.1,16,20.7,0.769,9,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8,0.466,12.9,0.673,0.297,0.153,0.105,0.118,0.327,0.511,0.651,0.413,0.428,0.362,0.372,0.454,0.069,416,0.233,870,0.799,0.279,0.386,14,1,37,79.4,9.6,25.9,27.3,53.5,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5,13.6,18.8,100.7,0.622,0.707317073170732,0.536585365853659,0.7,2
"Toronto Raptors",26.1,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.6,76.3,0.223,19780,0.449,13.3,0.671,0.268,0.18,0.094,0.128,0.329,0.495,0.649,0.394,0.381,0.398,0.354,0.495,0.051,321,0.243,915,0.841,0.242,0.355,37.2,82.9,9.7,27.3,27.5,55.6,18.5,23.8,0.78,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6,0.464,13.1,0.711,0.255,0.185,0.12,0.153,0.289,0.505,0.63,0.45,0.449,0.407,0.363,0.372,0.04,256,0.235,919,0.817,0.273,0.38,12,1,39.2,84.4,8.8,24.3,30.3,60,19.7,24.7,0.796,10.6,32.6,43.2,18.5,8.3,4.9,12.7,20.8,106.9,0.622,0.682926829268293,0.560975609756098,0.8,4
"Cleveland Cavaliers",29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,96.2,0.275,0.399,0.58,0.547,12.6,22,0.206,0.516,11.4,75.8,0.175,19880,0.458,13.2,0.677,0.293,0.147,0.104,0.134,0.323,0.504,0.634,0.403,0.406,0.406,0.361,0.525,0.048,314,0.25,1043,0.848,0.239,0.364,40.6,88.8,10.4,28.7,30.3,60.1,15.5,20,0.773,11,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2,0.47,14.3,0.601,0.284,0.11,0.092,0.115,0.399,0.528,0.665,0.363,0.427,0.425,0.384,0.44,0.059,381,0.231,944,0.83,0.293,0.412,7,0,39.9,84.9,13,33.9,26.9,51,17.5,23.3,0.748,9.4,34.4,43.8,22.7,6.6,4,13.7,18.1,110.3,0.622,0.75609756097561,0.48780487804878,0.4,-4
"Boston Celtics",25.9,53,29,48,34,2.63,-0.39,2.25,111.1,108.4,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.4,0.223,19755,0.45,13.4,0.685,0.281,0.16,0.093,0.151,0.315,0.505,0.626,0.432,0.403,0.416,0.332,0.504,0.047,304,0.243,966,0.849,0.209,0.343,38.6,85.8,9,27,29.7,58.8,19.1,24.9,0.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4,0.454,14.1,0.607,0.295,0.13,0.071,0.111,0.393,0.515,0.632,0.397,0.417,0.405,0.359,0.57,0.033,211,0.271,1105,0.837,0.22,0.41,20,0,38.6,85.1,12,33.4,26.6,51.7,18.7,23.2,0.807,9.1,32.9,42,25.2,7.5,4.1,13.3,20.6,108,0.646,0.731707317073171,0.560975609756098,0.7,3
"Washington Wizards",26,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,97.3,0.254,0.285,0.564,0.528,12.8,24,0.199,0.524,13.8,75.5,0.213,19855,0.466,13.3,0.681,0.295,0.148,0.099,0.14,0.319,0.514,0.636,0.41,0.452,0.411,0.364,0.491,0.052,335,0.248,990,0.826,0.211,0.403,39.7,85.1,9.9,27.1,29.8,58,18.2,24.2,0.751,10.6,32.5,43,22.8,7.4,4.6,15.3,19.8,107.4,0.475,13,0.715,0.3,0.138,0.108,0.169,0.285,0.516,0.629,0.43,0.426,0.442,0.372,0.496,0.047,302,0.26,1079,0.858,0.254,0.351,10,0,41.3,87,9.2,24.8,32.1,62.2,17.3,22.1,0.784,10.3,32.6,42.8,23.9,8.5,4.1,14.2,21.3,109.2,0.598,0.731707317073171,0.463414634146341,0.5,-1
"Oklahoma City Thunder",24.7,47,35,43,39,0.76,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.54,0.5,13.2,28,0.22,0.511,12.5,79,0.218,19805,0.459,12.1,0.709,0.321,0.173,0.102,0.112,0.291,0.502,0.622,0.415,0.406,0.384,0.355,0.462,0.052,314,0.276,1109,0.834,0.231,0.391,39.2,85.3,8.8,24.8,30.4,60.5,18.6,24.3,0.764,9.2,31.5,40.7,21.4,8.5,5.5,13.8,20.7,105.8,0.452,12,0.705,0.345,0.146,0.104,0.109,0.295,0.504,0.614,0.418,0.391,0.379,0.327,0.466,0.063,401,0.285,1129,0.773,0.253,0.344,19,2,39.5,87.4,8.4,25.8,31,61.6,19.2,25.8,0.745,12.2,34.4,46.6,21,7.9,5,15,20.9,106.6,0.573,0.682926829268293,0.463414634146341,0.6,-1
