team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Golden State Warriors,43.1,87.0,12.0,31.2,31.1,55.9,17.8,22.6,.789,9.3,35.0,44.3,30.4,9.5,6.7,14.7,19.4,116.0
Houston Rockets,40.2,87.1,14.3,40.1,25.9,47.0,20.4,26.6,.767,10.8,33.5,44.3,25.1,8.1,4.2,15.2,20.0,115.2
Cleveland Cavaliers,40.1,85.0,13.0,33.9,27.0,51.2,17.5,23.3,.749,9.3,34.5,43.8,22.7,6.6,4.0,13.7,18.2,110.7
Denver Nuggets,41.2,87.8,10.6,28.7,30.7,59.1,18.8,24.3,.774,11.9,34.4,46.3,25.3,7.0,4.0,14.9,19.2,111.8
Washington Wizards,41.3,87.0,9.2,24.7,32.1,62.3,17.4,22.2,.784,10.3,32.6,43.0,23.9,8.5,4.2,14.2,21.4,109.3
Los Angeles Clippers,39.5,83.2,10.3,27.4,29.2,55.8,19.3,26.0,.745,9.0,34.1,43.1,22.5,7.5,4.2,13.1,19.9,108.6
Portland Trail Blazers,39.5,86.1,10.4,27.7,29.2,58.4,18.6,23.8,.783,10.1,33.5,43.5,21.1,7.0,5.0,13.6,21.2,108.0
Boston Celtics,38.6,85.0,12.0,33.4,26.6,51.6,18.7,23.2,.809,9.0,32.9,41.9,25.2,7.5,4.2,13.3,20.6,108.0
Phoenix Suns,39.9,88.3,7.5,22.5,32.4,65.8,20.5,26.4,.778,11.8,33.1,45.0,19.6,8.2,4.9,15.5,24.8,107.7
Toronto Raptors,39.1,84.3,8.9,24.3,30.3,60.0,19.8,24.8,.798,10.6,32.6,43.2,18.5,8.3,4.9,12.8,20.8,107.0
Brooklyn Nets,38.0,85.2,10.8,31.6,27.2,53.6,19.5,24.7,.788,8.8,35.1,43.8,21.5,7.2,4.8,16.5,21.1,106.2
San Antonio Spurs,39.3,83.7,9.2,23.5,30.1,60.1,17.6,22.1,.797,10.0,34.0,43.9,23.9,7.9,6.0,13.4,18.3,105.4
Oklahoma City Thunder,39.5,87.3,8.5,25.9,31.0,61.4,19.3,25.9,.746,12.1,34.4,46.5,21.0,7.9,5.0,15.0,20.9,106.7
Charlotte Hornets,37.8,85.3,10.1,28.7,27.7,56.7,19.5,23.9,.815,8.7,34.9,43.6,23.1,6.9,4.8,11.4,16.6,105.2
Indiana Pacers,39.3,84.6,8.6,23.0,30.7,61.6,17.9,22.1,.810,9.1,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1
New York Knicks,39.5,88.5,8.6,24.7,31.0,63.9,16.6,21.0,.789,11.9,33.3,45.2,21.8,7.1,5.5,13.8,20.4,104.2
Minnesota Timberwolves,39.4,84.3,7.3,21.0,32.1,63.3,19.5,24.3,.801,11.5,31.0,42.4,23.5,7.9,4.6,14.1,20.2,105.5
Milwaukee Bucks,38.8,81.8,8.8,23.8,30.0,58.1,17.3,22.5,.768,8.8,31.5,40.3,24.2,8.1,5.3,13.9,20.2,103.7
Los Angeles Lakers,39.3,87.3,9.0,25.9,30.3,61.4,17.2,22.7,.756,11.4,32.1,43.5,20.9,8.1,3.9,15.2,20.7,104.7
New Orleans Pelicans,39.2,87.0,9.4,26.9,29.8,60.1,16.7,22.3,.750,8.6,35.2,43.8,22.8,7.8,5.5,12.8,18.2,104.5
Miami Heat,39.0,85.8,9.9,27.0,29.1,58.8,15.3,21.7,.705,10.6,33.0,43.6,21.3,7.2,5.8,13.4,20.6,103.1
Chicago Bulls,38.6,87.0,7.5,22.2,31.1,64.8,18.0,22.6,.798,12.2,33.9,46.1,22.5,7.8,4.8,13.5,17.7,102.8
Philadelphia 76ers,37.6,85.2,10.2,29.9,27.4,55.3,17.0,22.0,.772,9.8,33.1,42.9,23.8,8.4,5.1,16.7,21.8,102.3
Atlanta Hawks,38.2,84.6,8.9,26.0,29.3,58.6,18.2,25.0,.727,10.3,34.1,44.4,23.6,8.3,4.9,15.7,18.2,103.4
Sacramento Kings,37.8,82.1,9.0,24.1,28.7,58.0,18.0,23.2,.775,8.8,32.3,41.1,22.4,7.7,4.0,14.7,20.3,102.6
Detroit Pistons,39.9,88.6,7.7,23.2,32.2,65.4,13.9,19.2,.721,11.0,34.6,45.6,21.1,7.0,3.8,11.9,17.9,101.2
Orlando Magic,38.2,87.0,8.5,26.1,29.7,60.9,16.0,21.4,.745,9.9,33.2,43.1,22.1,7.1,4.8,13.3,19.3,100.9
Utah Jazz,37.0,79.5,9.6,26.0,27.3,53.5,17.1,22.9,.748,9.4,33.9,43.3,20.1,6.7,5.0,13.6,18.9,100.7
Memphis Grizzlies,36.4,83.6,9.4,26.5,27.1,57.1,18.3,23.4,.783,10.7,32.0,42.7,21.3,8.0,4.2,12.9,22.4,100.6
Dallas Mavericks,36.3,82.4,10.7,30.0,25.5,52.4,14.8,18.4,.801,7.9,30.7,38.6,20.8,7.5,3.8,11.8,19.2,98.0
