team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.3974358974358974,0.46153846153846156,0.3333333333333333,0.3,-1
Los Angeles Lakers,0.2077922077922078,0.28205128205128205,0.13157894736842105,0.2,-2
Memphis Grizzlies,0.5384615384615384,0.65,0.42105263157894735,0.3,1
Philadelphia 76ers,0.1282051282051282,0.1794871794871795,0.07692307692307693,0.1,1
San Antonio Spurs,0.8441558441558441,1.0,0.6842105263157895,0.8,4
Houston Rockets,0.4935064935064935,0.5526315789473685,0.4358974358974359,0.4,1
Detroit Pistons,0.5256410256410257,0.6410256410256411,0.41025641025641024,0.7,-1
Boston Celtics,0.5844155844155844,0.6756756756756757,0.5,0.6,2
Miami Heat,0.5844155844155844,0.6666666666666666,0.5,0.6,1
Orlando Magic,0.42857142857142855,0.5526315789473685,0.3076923076923077,0.4,1
Portland Trail Blazers,0.5316455696202531,0.6842105263157895,0.3902439024390244,0.7,1
Golden State Warriors,0.8846153846153846,0.9487179487179487,0.8205128205128205,0.7,-1
Chicago Bulls,0.5,0.6153846153846154,0.38461538461538464,0.4,-1
Washington Wizards,0.4805194805194805,0.5,0.46153846153846156,0.5,-1
Dallas Mavericks,0.5064935064935064,0.5526315789473685,0.46153846153846156,0.5,4
Minnesota Timberwolves,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,1
Oklahoma City Thunder,0.6923076923076923,0.775,0.6052631578947368,0.8,1
Charlotte Hornets,0.5714285714285714,0.717948717948718,0.42105263157894735,0.6,-2
Milwaukee Bucks,0.41025641025641024,0.575,0.23684210526315788,0.3,-2
Los Angeles Clippers,0.6363636363636364,0.6923076923076923,0.5789473684210527,0.6,2
Toronto Raptors,0.6753246753246753,0.7692307692307693,0.5789473684210527,0.6,1
Utah Jazz,0.5,0.6153846153846154,0.38461538461538464,0.6,-1
Phoenix Suns,0.2564102564102564,0.3333333333333333,0.1794871794871795,0.2,-7
Sacramento Kings,0.3974358974358974,0.4358974358974359,0.358974358974359,0.5,-1
New Orleans Pelicans,0.37662337662337664,0.5263157894736842,0.23076923076923078,0.4,-1
Cleveland Cavaliers,0.717948717948718,0.8205128205128205,0.6153846153846154,0.7,4
Atlanta Hawks,0.5897435897435898,0.6410256410256411,0.5384615384615384,0.7,1
Brooklyn Nets,0.2727272727272727,0.358974358974359,0.18421052631578946,0.2,-5
Indiana Pacers,0.5324675324675324,0.6052631578947368,0.46153846153846156,0.5,2
Denver Nuggets,0.4050632911392405,0.4358974358974359,0.375,0.4,-3
