team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.451,12.9,.693,.329,.118,.094,.153,.307,.501,.621,.348,.390,.428,.339,.534,.054,303,.285,975,.879,.236,.387,11,0
Boston Celtics,.454,14.1,.612,.294,.133,.072,.111,.388,.513,.632,.390,.421,.404,.362,.562,.032,185,.272,1000,.837,.216,.416,18,0
Brooklyn Nets,.445,13.1,.628,.308,.176,.075,.069,.372,.506,.611,.423,.393,.371,.343,.448,.035,196,.299,1039,.847,.224,.376,18,0
Chicago Bulls,.443,12.6,.748,.278,.171,.121,.178,.252,.481,.595,.454,.396,.385,.331,.512,.038,223,.255,900,.871,.284,.416,8,0
Charlotte Hornets,.441,13.7,.666,.286,.134,.096,.150,.334,.486,.609,.397,.406,.383,.352,.549,.034,196,.257,910,.795,.138,.375,14,0
Cleveland Cavaliers,.470,14.3,.602,.286,.108,.094,.114,.398,.525,.662,.346,.431,.428,.385,.436,.058,330,.234,846,.832,.290,.421,6,0
Dallas Mavericks,.440,15.1,.640,.198,.131,.120,.191,.360,.487,.631,.445,.445,.394,.357,.466,.037,196,.166,569,.818,.197,.372,12,0
Denver Nuggets,.468,12.7,.674,.330,.156,.077,.112,.326,.514,.622,.438,.381,.394,.371,.524,.052,301,.285,1023,.870,.192,.373,16,0
Detroit Pistons,.450,12.9,.740,.252,.190,.140,.157,.260,.493,.642,.392,.446,.416,.328,.457,.044,263,.212,806,.833,.197,.382,29,1
Golden State Warriors,.494,14.0,.642,.302,.104,.107,.129,.358,.555,.689,.409,.437,.454,.384,.660,.075,442,.235,906,.833,.209,.411,28,1
Houston Rockets,.466,14.4,.537,.315,.127,.041,.053,.463,.553,.675,.384,.377,.382,.364,.547,.075,428,.266,1016,.773,.203,.407,13,0
Indiana Pacers,.462,13.5,.730,.234,.188,.107,.199,.270,.495,.617,.467,.416,.423,.373,.498,.034,192,.230,809,.839,.258,.408,17,1
Los Angeles Clippers,.471,14.1,.671,.276,.119,.080,.194,.329,.519,.657,.414,.412,.431,.373,.497,.066,372,.225,811,.775,.201,.406,14,2
Los Angeles Lakers,.448,12.7,.700,.289,.189,.103,.119,.300,.490,.631,.391,.385,.395,.349,.456,.054,311,.241,866,.778,.222,.379,16,1
Memphis Grizzlies,.433,13.4,.685,.289,.157,.094,.145,.315,.472,.576,.417,.386,.379,.349,.500,.031,173,.269,891,.812,.191,.414,26,0
Miami Heat,.454,13.0,.686,.289,.166,.094,.137,.314,.496,.626,.415,.392,.391,.363,.431,.054,313,.238,822,.885,.302,.406,13,0
Milwaukee Bucks,.475,11.6,.716,.361,.170,.077,.109,.284,.517,.638,.399,.380,.396,.369,.533,.075,414,.288,969,.922,.278,.380,11,0
Minnesota Timberwolves,.467,12.4,.747,.304,.163,.099,.181,.253,.507,.639,.439,.398,.406,.349,.530,.059,338,.250,856,.875,.263,.384,9,0
New Orleans Pelicans,.448,13.3,.691,.275,.172,.094,.149,.309,.490,.619,.411,.430,.379,.353,.498,.046,277,.241,868,.837,.219,.374,11,0
New York Knicks,.448,13.2,.721,.287,.127,.133,.174,.279,.485,.591,.379,.440,.421,.354,.463,.039,233,.254,892,.849,.228,.435,21,0
Oklahoma City Thunder,.455,12.0,.706,.342,.148,.106,.109,.294,.508,.620,.421,.406,.375,.328,.465,.065,367,.280,990,.786,.258,.342,17,2
Orlando Magic,.441,13.4,.702,.264,.171,.111,.156,.298,.491,.624,.427,.424,.381,.323,.490,.042,246,.231,835,.871,.183,.289,23,0
Philadelphia 76ers,.443,13.1,.655,.306,.150,.094,.104,.345,.494,.639,.372,.385,.347,.346,.540,.047,264,.266,962,.868,.152,.405,8,0
Phoenix Suns,.450,12.4,.745,.308,.153,.120,.163,.255,.489,.626,.408,.397,.372,.336,.414,.056,316,.260,960,.796,.278,.335,19,0
Portland Trail Blazers,.461,13.3,.682,.297,.143,.093,.149,.318,.502,.597,.419,.444,.426,.374,.453,.047,268,.248,833,.794,.203,.389,15,0
Sacramento Kings,.459,13.0,.703,.258,.196,.096,.152,.297,.494,.638,.426,.403,.397,.374,.505,.049,267,.253,885,.877,.239,.411,17,0
San Antonio Spurs,.473,13.3,.720,.255,.161,.116,.190,.280,.505,.653,.434,.385,.436,.391,.527,.048,264,.216,783,.880,.272,.434,11,0
Toronto Raptors,.463,13.1,.714,.256,.185,.120,.153,.286,.503,.624,.453,.451,.402,.364,.368,.041,235,.236,824,.802,.272,.379,10,1
Utah Jazz,.463,13.0,.673,.295,.153,.104,.121,.327,.510,.647,.418,.430,.360,.366,.449,.068,369,.233,779,.792,.272,.372,13,1
Washington Wizards,.474,13.1,.718,.296,.139,.110,.173,.282,.514,.632,.434,.423,.433,.373,.503,.045,260,.259,965,.861,.258,.353,9,0
