Visitor,Home,Prediction,Result,Prediction_Outcome
Sacramento Kings,Charlotte Hornets,,,
Los Angeles Clippers,Golden State Warriors,,,
Detroit Pistons,Miami Heat,,,
Boston Celtics,Milwaukee Bucks,,,
Brooklyn Nets,Minnesota Timberwolves,,,
Denver Nuggets,Phoenix Suns,,,
Memphis Grizzlies,Utah Jazz,,,
Sacramento Kings,Charlotte Hornets,,,
Los Angeles Clippers,Golden State Warriors,,,
Detroit Pistons,Miami Heat,,,
Boston Celtics,Milwaukee Bucks,,,
Brooklyn Nets,Minnesota Timberwolves,,,
Denver Nuggets,Phoenix Suns,,,
Memphis Grizzlies,Utah Jazz,,,
