team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,37,8,12.71,-0.57,12.14,116.0,103.4,100.7,.268,.355,.602,.568,13.5,22.3,.210,.484,13.0,75.8,.197
San Antonio Spurs,29.7,34,10,9.09,-0.28,8.82,113.9,104.3,94.1,.270,.271,.580,.538,12.2,23.2,.221,.495,13.5,78.0,.200
Houston Rockets,27.4,34,14,6.65,0.09,6.73,115.1,108.4,98.8,.280,.459,.587,.552,13.7,25.1,.214,.516,13.3,76.2,.201
Toronto Raptors,26.1,29,15,5.20,-0.18,5.02,114.6,109.2,95.6,.301,.286,.567,.520,11.0,25.0,.245,.516,14.4,74.5,.222
Cleveland Cavaliers,29.0,28,15,4.74,-0.09,4.66,112.8,107.9,96.7,.293,.390,.567,.529,12.6,23.7,.223,.513,12.6,75.4,.172
Los Angeles Clippers,30.1,31,15,5.37,-0.74,4.63,111.8,106.2,96.2,.299,.323,.567,.529,12.1,22.4,.225,.494,12.4,76.9,.218
Utah Jazz,26.5,30,16,4.24,-0.27,3.97,108.7,104.1,91.4,.301,.333,.563,.525,13.4,22.1,.225,.482,11.7,77.7,.190
Boston Celtics,25.9,24,19,2.00,-0.14,1.86,111.5,109.4,95.8,.250,.378,.561,.522,11.6,21.7,.203,.505,12.8,73.6,.222
Charlotte Hornets,26.7,26,19,2.07,-0.55,1.52,108.3,106.2,96.5,.294,.315,.544,.497,11.1,21.0,.233,.505,11.7,79.6,.162
Oklahoma City Thunder,24.5,24,21,0.78,0.27,1.05,107.8,107.0,97.5,.296,.300,.544,.505,13.3,26.2,.220,.506,12.6,77.5,.209
Memphis Grizzlies,28.9,23,23,0.22,0.57,0.78,105.3,105.0,93.0,.281,.309,.524,.479,12.1,24.4,.219,.497,13.9,78.8,.270
Milwaukee Bucks,25.5,23,21,0.64,-0.26,0.38,109.6,109.0,95.3,.271,.278,.562,.525,12.9,22.9,.207,.512,13.1,75.6,.210
Washington Wizards,26.0,23,21,0.52,-0.52,0.00,109.1,108.6,96.6,.243,.271,.557,.522,13.1,24.1,.190,.522,14.1,75.7,.212
Atlanta Hawks,28.3,23,22,0.18,-0.61,-0.43,105.5,105.3,97.2,.275,.303,.541,.507,13.9,24.1,.198,.508,14.2,75.9,.174
Detroit Pistons,25.5,22,24,-0.76,0.25,-0.51,106.0,106.8,94.4,.219,.266,.529,.499,11.4,22.5,.161,.511,12.2,80.2,.207
Minnesota Timberwolves,23.7,20,24,-1.05,0.48,-0.57,109.0,110.1,94.3,.284,.268,.550,.507,13.7,27.5,.224,.526,13.3,77.0,.220
Chicago Bulls,27.6,22,23,-0.13,-0.67,-0.80,106.9,107.1,94.4,.281,.235,.519,.471,12.3,29.6,.227,.508,12.2,76.5,.166
Denver Nuggets,25.2,20,23,-1.47,0.32,-1.15,111.1,112.5,98.2,.289,.309,.556,.518,13.5,28.2,.218,.526,10.8,78.7,.209
Portland Trail Blazers,25.1,19,27,-2.96,0.66,-2.30,108.9,111.9,97.4,.275,.329,.554,.513,12.4,22.0,.215,.513,12.0,75.7,.249
Indiana Pacers,27.1,20,24,-1.39,-1.21,-2.59,106.8,108.2,97.7,.266,.267,.554,.511,13.0,19.7,.217,.510,13.8,74.6,.216
Dallas Mavericks,27.9,17,27,-3.48,0.84,-2.63,105.0,108.8,91.3,.216,.369,.537,.502,12.0,19.0,.172,.533,14.9,77.8,.231
Sacramento Kings,29.0,18,26,-2.95,0.29,-2.67,107.6,110.7,94.5,.302,.302,.551,.506,13.3,22.1,.235,.528,13.8,75.7,.234
New Orleans Pelicans,25.6,18,27,-2.78,0.09,-2.69,103.9,106.7,98.0,.257,.305,.531,.494,11.4,18.3,.193,.504,12.1,77.4,.175
Miami Heat,26.3,17,28,-3.53,0.74,-2.80,103.5,107.2,94.9,.251,.301,.521,.494,12.2,23.2,.169,.498,12.1,76.7,.206
New York Knicks,27.6,19,27,-2.59,-0.26,-2.85,108.4,111.0,96.8,.239,.283,.537,.500,12.7,27.2,.188,.506,11.7,74.7,.227
Phoenix Suns,25.8,15,29,-5.39,1.03,-4.36,105.7,111.1,99.2,.288,.267,.538,.494,13.9,26.5,.225,.526,13.7,77.3,.255
Orlando Magic,25.6,15,31,-5.09,-0.19,-5.27,103.6,108.9,96.0,.233,.305,.522,.492,12.0,21.9,.167,.515,12.1,76.9,.191
Los Angeles Lakers,25.9,15,33,-6.38,0.52,-5.86,106.3,112.8,97.9,.273,.301,.538,.498,13.6,25.4,.208,.539,12.7,75.5,.205
Philadelphia 76ers,25.0,13,29,-5.71,-0.48,-6.20,100.9,106.8,97.1,.249,.355,.530,.495,15.5,22.2,.187,.501,12.8,75.8,.216
Brooklyn Nets,26.3,11,33,-9.07,0.74,-8.33,103.4,112.3,101.8,.277,.384,.549,.507,15.0,19.4,.219,.521,11.5,75.4,.203
