team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,36,7,12.91,-0.38,12.53,116.3,103.6,100.7,.270,.353,.604,.569,13.5,22.3,.213,.483,13.1,75.8,.200
San Antonio Spurs,29.8,33,10,8.70,-0.11,8.59,113.8,104.6,94.0,.273,.272,.581,.539,12.3,23.1,.224,.497,13.5,77.7,.200
Houston Rockets,27.4,33,14,7.06,0.03,7.10,115.1,108.0,98.8,.279,.460,.586,.552,13.6,25.2,.212,.513,13.2,76.2,.199
Toronto Raptors,26.1,29,14,5.60,0.00,5.61,114.8,109.0,95.5,.299,.285,.568,.522,11.0,25.3,.242,.515,14.4,74.4,.220
Cleveland Cavaliers,29.0,28,14,4.90,0.01,4.91,112.6,107.5,96.6,.294,.390,.567,.529,12.6,23.7,.222,.511,12.7,75.3,.170
Los Angeles Clippers,30.1,30,15,5.27,-0.76,4.51,111.5,106.1,96.2,.300,.324,.566,.528,12.1,22.3,.226,.494,12.5,76.7,.218
Utah Jazz,26.5,29,16,4.38,-0.27,4.11,108.9,104.1,91.3,.300,.335,.565,.527,13.5,22.3,.225,.482,11.7,77.7,.189
Boston Celtics,25.9,24,19,2.00,-0.13,1.88,111.5,109.4,95.8,.250,.378,.561,.522,11.6,21.7,.203,.505,12.8,73.6,.222
Charlotte Hornets,26.7,25,19,2.34,-0.54,1.80,108.4,106.0,96.5,.294,.314,.545,.499,11.2,21.0,.233,.503,11.6,79.5,.162
Oklahoma City Thunder,24.5,23,21,0.75,0.24,0.99,107.9,107.2,97.6,.296,.302,.545,.506,13.4,26.4,.220,.507,12.7,77.4,.208
Memphis Grizzlies,28.9,23,23,0.22,0.61,0.82,105.3,105.0,93.0,.281,.309,.524,.479,12.1,24.4,.219,.497,13.9,78.8,.270
Milwaukee Bucks,25.5,22,21,0.35,-0.42,-0.07,109.3,108.9,95.1,.269,.277,.559,.523,12.8,22.9,.205,.510,12.9,75.4,.209
Atlanta Hawks,28.3,23,21,0.41,-0.71,-0.30,105.4,105.0,97.2,.274,.303,.541,.508,14.0,24.2,.197,.507,14.3,75.9,.174
Washington Wizards,26.0,22,21,0.30,-0.60,-0.30,109.0,108.7,96.6,.243,.270,.556,.520,13.1,24.3,.191,.524,14.2,75.6,.211
Detroit Pistons,25.5,21,24,-0.67,0.33,-0.34,106.0,106.7,94.4,.219,.265,.528,.498,11.3,22.6,.162,.510,12.2,80.3,.206
Minnesota Timberwolves,23.7,20,23,-1.14,0.51,-0.63,108.9,110.1,94.2,.285,.270,.549,.505,13.7,27.6,.225,.526,13.2,77.2,.220
Chicago Bulls,27.6,22,23,-0.13,-0.68,-0.81,106.9,107.1,94.4,.281,.235,.519,.471,12.3,29.6,.227,.508,12.2,76.5,.166
Denver Nuggets,25.2,19,23,-1.43,0.33,-1.10,111.1,112.5,98.2,.289,.309,.555,.517,13.5,28.2,.219,.525,10.7,78.8,.210
Portland Trail Blazers,25.1,19,27,-2.96,0.67,-2.29,108.9,111.9,97.4,.275,.329,.554,.513,12.4,22.0,.215,.513,12.0,75.7,.249
Indiana Pacers,27.1,20,23,-1.28,-1.17,-2.45,106.9,108.2,97.7,.266,.266,.555,.511,13.1,19.8,.217,.510,13.8,74.4,.212
Sacramento Kings,29.0,17,26,-3.14,0.32,-2.82,107.5,110.8,94.5,.301,.302,.550,.505,13.3,22.0,.235,.528,13.8,75.4,.236
New Orleans Pelicans,25.5,18,26,-2.89,-0.02,-2.90,103.4,106.4,98.0,.255,.302,.529,.492,11.5,18.3,.192,.503,12.2,77.4,.173
New York Knicks,27.6,18,27,-2.78,-0.18,-2.96,108.3,111.1,96.8,.235,.282,.536,.499,12.7,27.4,.184,.506,11.7,74.5,.227
Miami Heat,26.3,16,28,-3.68,0.49,-3.19,103.5,107.3,94.8,.250,.299,.520,.493,12.2,23.2,.169,.497,12.1,76.5,.208
Dallas Mavericks,28.0,15,28,-4.70,1.06,-3.64,104.3,109.4,91.3,.216,.367,.535,.500,12.0,18.7,.171,.535,14.8,77.5,.232
Phoenix Suns,25.8,14,29,-5.79,0.98,-4.81,105.4,111.2,99.2,.286,.267,.536,.492,13.9,26.6,.222,.527,13.8,77.1,.252
Los Angeles Lakers,25.9,15,32,-5.47,0.59,-4.88,106.8,112.4,98.1,.273,.301,.539,.500,13.5,25.7,.208,.538,12.7,75.6,.205
Orlando Magic,25.6,15,30,-4.76,-0.47,-5.22,103.8,108.7,95.9,.234,.306,.523,.493,12.1,21.9,.169,.513,11.9,77.1,.192
Philadelphia 76ers,25.0,13,29,-5.71,-0.41,-6.12,100.9,106.8,97.1,.249,.355,.530,.495,15.5,22.2,.187,.501,12.8,75.8,.216
Brooklyn Nets,26.3,11,32,-8.67,0.63,-8.04,103.7,112.2,101.9,.278,.385,.551,.508,14.9,19.6,.219,.521,11.5,75.6,.204
