Visitor,Home,Prediction,Result,Prediction_Outcome
Detroit Pistons,Atlanta Hawks,,,
Miami Heat,Boston Celtics,,,
Philadelphia 76ers,Denver Nuggets,,,
Dallas Mavericks,Golden State Warriors,,,
Los Angeles Clippers,Houston Rockets,,,
Chicago Bulls,Indiana Pacers,,,
Milwaukee Bucks,Minnesota Timberwolves,,,
New York Knicks,New Orleans Pelicans,,,
Portland Trail Blazers,San Antonio Spurs,,,
Brooklyn Nets,Washington Wizards,,,
Detroit Pistons,Atlanta Hawks,,,
Miami Heat,Boston Celtics,,,
Philadelphia 76ers,Denver Nuggets,,,
Dallas Mavericks,Golden State Warriors,,,
Los Angeles Clippers,Houston Rockets,,,
Chicago Bulls,Indiana Pacers,,,
Milwaukee Bucks,Minnesota Timberwolves,,,
New York Knicks,New Orleans Pelicans,,,
Portland Trail Blazers,San Antonio Spurs,,,
Brooklyn Nets,Washington Wizards,,,
