Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Brooklyn Nets,0,1,0
Indiana Pacers,Chicago Bulls,0,1,0
Cleveland Cavaliers,Detroit Pistons,0,1,0
Phoenix Suns,Houston Rockets,0,1,0
Denver Nuggets,Los Angeles Clippers,0,0,1
Atlanta Hawks,Minnesota Timberwolves,0,1,0
Dallas Mavericks,New Orleans Pelicans,0,1,0
Memphis Grizzlies,Orlando Magic,0,1,0
Toronto Raptors,Portland Trail Blazers,0,0,1
Philadelphia 76ers,Sacramento Kings,0,1,0
Milwaukee Bucks,Washington Wizards,0,1,0
