Visitor,Home,Prediction,Result,Prediction_Outcome
Milwaukee Bucks,Boston Celtics,0,1,0
Brooklyn Nets,Chicago Bulls,0,1,0
Toronto Raptors,Cleveland Cavaliers,0,0,1
Los Angeles Lakers,Golden State Warriors,0,1,0
Minnesota Timberwolves,Houston Rockets,0,1,0
Atlanta Hawks,Indiana Pacers,0,1,0
Sacramento Kings,Los Angeles Clippers,0,1,0
Dallas Mavericks,Memphis Grizzlies,0,0,1
Washington Wizards,Miami Heat,0,1,0
Philadelphia 76ers,New York Knicks,0,1,0
Denver Nuggets,Oklahoma City Thunder,0,0,1
Detroit Pistons,Orlando Magic,0,1,0
New Orleans Pelicans,Portland Trail Blazers,0,0,1
San Antonio Spurs,Utah Jazz,0,1,0
