Visitor,Home,Prediction,Result,Prediction_Outcome
Sacramento Kings,Dallas Mavericks,,,
Utah Jazz,Memphis Grizzlies,,,
Boston Celtics,Miami Heat,,,
Toronto Raptors,Orlando Magic,,,
Brooklyn Nets,Philadelphia 76ers,,,
New Orleans Pelicans,San Antonio Spurs,,,
Los Angeles Clippers,Washington Wizards,,,
Sacramento Kings,Dallas Mavericks,,,
Utah Jazz,Memphis Grizzlies,,,
Boston Celtics,Miami Heat,,,
Toronto Raptors,Orlando Magic,,,
Brooklyn Nets,Philadelphia 76ers,,,
New Orleans Pelicans,San Antonio Spurs,,,
Los Angeles Clippers,Washington Wizards,,,
