team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Los Angeles Clippers,29.8,12,2,13.71,-0.21,13.51,113.2,99.0,96.4,.350,.307,.567,.524,11.1,22.2,.261,.469,15.2,77.0,.219
San Antonio Spurs,29.7,9,4,5.38,1.83,7.21,110.3,104.5,93.4,.288,.262,.559,.508,11.5,21.7,.243,.495,13.0,79.3,.209
Cleveland Cavaliers,29.2,9,3,7.00,-0.42,6.58,111.8,104.6,97.2,.272,.390,.555,.518,11.7,24.3,.207,.490,11.5,76.9,.157
Atlanta Hawks,28.3,9,4,7.08,-0.77,6.31,106.1,99.0,99.7,.312,.306,.558,.525,15.5,25.5,.218,.477,14.9,76.9,.171
Golden State Warriors,28.2,10,3,8.23,-2.06,6.18,116.6,108.4,100.2,.264,.363,.601,.564,13.3,22.6,.213,.500,12.8,73.2,.217
Chicago Bulls,27.7,10,4,6.29,-0.68,5.60,111.3,104.6,94.5,.281,.244,.533,.484,12.0,31.4,.230,.496,12.1,76.5,.151
Toronto Raptors,26.2,8,5,3.38,1.13,4.51,111.6,108.1,95.6,.305,.268,.549,.500,10.7,25.1,.246,.506,13.7,75.9,.242
Charlotte Hornets,26.9,8,4,4.67,-0.59,4.08,107.1,102.4,98.1,.289,.349,.539,.497,10.3,18.5,.221,.492,12.7,79.7,.161
Houston Rockets,27.2,8,5,4.15,-0.26,3.90,112.6,108.3,96.9,.251,.420,.571,.541,14.3,27.3,.186,.515,12.7,78.2,.211
Oklahoma City Thunder,24.5,8,6,1.50,0.63,2.13,104.2,102.7,99.5,.261,.290,.532,.496,14.6,25.7,.193,.495,13.4,78.0,.201
Miami Heat,25.6,6,6,-0.42,1.94,1.53,101.0,101.4,94.4,.233,.273,.500,.475,12.8,25.6,.153,.463,12.8,75.0,.205
Utah Jazz,26.1,8,7,0.87,0.65,1.52,105.6,104.7,90.9,.272,.324,.545,.507,12.3,20.3,.208,.485,11.4,79.1,.195
Minnesota Timberwolves,23.6,7,5,1.67,-0.59,1.07,110.8,109.0,94.8,.320,.286,.557,.516,13.5,28.2,.238,.515,14.3,76.9,.271
Memphis Grizzlies,28.9,6,7,-0.15,0.46,0.31,102.9,103.1,92.6,.298,.308,.524,.474,14.0,24.1,.237,.498,14.6,80.6,.275
Los Angeles Lakers,25.8,7,7,0.14,0.10,0.24,109.9,109.8,99.9,.269,.317,.567,.526,14.3,25.0,.217,.525,13.5,76.5,.222
Detroit Pistons,25.9,7,7,-0.36,0.04,-0.32,102.6,103.0,94.4,.220,.225,.507,.471,10.7,21.1,.169,.479,12.0,76.6,.180
Boston Celtics,25.6,6,7,-0.69,-0.16,-0.86,108.1,108.8,96.1,.268,.346,.546,.508,12.0,22.5,.205,.493,12.2,73.5,.221
Denver Nuggets,25.0,6,7,-1.00,-0.23,-1.23,105.3,106.3,99.0,.334,.282,.534,.488,14.7,27.7,.250,.500,11.1,79.7,.201
Sacramento Kings,28.9,5,9,-3.57,1.38,-2.19,106.6,110.3,93.8,.322,.275,.544,.496,13.5,22.7,.250,.522,13.0,76.0,.252
Washington Wizards,26.2,5,7,-3.42,1.09,-2.33,106.0,109.6,95.9,.250,.233,.532,.492,13.3,26.3,.197,.529,13.6,75.6,.207
Milwaukee Bucks,25.3,5,7,-1.33,-1.07,-2.40,105.2,106.6,96.5,.249,.278,.536,.496,13.8,24.6,.197,.486,12.6,75.8,.240
New York Knicks,27.7,5,8,-3.77,0.82,-2.95,106.7,110.6,96.0,.229,.275,.533,.500,13.1,27.0,.174,.508,12.6,73.7,.234
Portland Trail Blazers,25.1,6,9,-4.00,0.40,-3.60,107.5,111.5,98.6,.273,.352,.554,.512,12.7,19.5,.216,.494,11.0,73.6,.259
Indiana Pacers,27.3,6,8,-1.64,-2.03,-3.67,105.3,106.9,97.9,.242,.258,.545,.509,13.4,20.7,.188,.508,14.4,73.8,.202
New Orleans Pelicans,25.7,5,9,-5.07,-0.28,-5.35,101.5,106.5,98.8,.279,.281,.524,.481,12.0,17.6,.215,.499,12.5,77.7,.199
Brooklyn Nets,26.7,4,9,-6.85,0.44,-6.40,104.1,110.8,102.2,.280,.399,.551,.505,14.8,20.2,.226,.523,12.8,75.3,.197
Phoenix Suns,25.7,4,10,-6.50,-0.57,-7.07,103.7,109.9,102.2,.309,.244,.527,.483,12.9,24.1,.230,.524,13.9,78.9,.264
Dallas Mavericks,27.7,3,9,-7.42,-0.48,-7.90,96.5,104.4,92.3,.217,.354,.497,.457,12.2,19.0,.174,.521,16.3,78.8,.207
Orlando Magic,25.3,3,10,-7.31,-1.02,-8.32,98.7,106.5,93.7,.237,.294,.493,.458,12.1,23.5,.171,.491,11.3,75.6,.172
Philadelphia 76ers,25.1,3,10,-10.38,0.53,-9.86,98.3,108.7,97.9,.231,.341,.527,.497,15.8,18.6,.166,.519,12.0,75.7,.175
