team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Portland Trail Blazers,39.1,87.2,11.1,30.7,28.1,56.5,18.9,23.8,.793,8.8,33.9,42.7,21.5,6.7,4.7,14.2,23.5,108.2
Los Angeles Lakers,40.6,86.6,9.9,27.4,30.7,59.1,18.8,23.3,.807,10.8,33.1,43.9,21.9,8.6,3.8,16.1,21.8,109.8
Los Angeles Clippers,38.8,83.3,9.8,25.6,29.0,57.7,21.7,29.1,.745,9.4,34.4,43.8,21.7,10.0,5.1,12.0,20.1,109.1
Golden State Warriors,43.3,87.1,11.7,31.6,31.6,55.5,18.5,23.0,.806,9.4,33.2,42.5,30.8,9.8,5.8,14.9,20.1,116.8
Phoenix Suns,40.4,90.5,6.8,22.1,33.6,68.4,20.9,28.0,.745,11.6,34.4,46.0,19.1,9.4,3.8,15.2,26.1,108.4
Indiana Pacers,40.7,88.0,8.2,22.7,32.5,65.3,16.5,21.3,.775,9.2,33.1,42.4,23.9,9.6,6.6,15.1,20.4,106.1
Oklahoma City Thunder,39.8,88.8,8.6,25.8,31.2,63.0,17.1,23.1,.741,11.1,35.4,46.6,21.1,7.7,5.3,16.9,21.6,105.3
Chicago Bulls,38.8,87.8,7.4,21.4,31.4,66.4,20.2,24.6,.820,14.3,34.7,49.0,21.1,7.5,4.6,13.5,17.1,105.2
Utah Jazz,35.5,78.6,8.7,25.5,26.7,53.1,16.3,21.4,.763,8.3,34.0,42.3,17.8,6.1,5.1,12.4,19.9,96.0
New Orleans Pelicans,38.1,87.1,7.5,24.4,30.6,62.6,18.7,24.3,.771,8.2,35.6,43.9,23.3,8.2,6.9,13.4,20.1,102.5
Sacramento Kings,36.6,81.7,7.9,22.5,28.7,59.2,20.4,26.3,.777,9.4,31.7,41.1,21.5,7.1,4.0,14.5,21.9,101.4
Houston Rockets,39.8,86.0,13.5,36.2,26.2,49.8,16.0,21.6,.740,11.7,32.8,44.5,24.4,7.3,4.7,16.0,20.1,109.1
Toronto Raptors,39.4,86.3,7.5,23.2,31.8,63.2,21.2,26.3,.807,11.3,32.7,44.0,18.6,8.8,4.2,11.7,22.6,107.5
Brooklyn Nets,37.9,86.1,11.2,34.3,26.8,51.8,19.5,24.1,.808,9.3,34.2,43.5,20.7,8.1,4.2,16.8,20.7,106.5
Denver Nuggets,37.9,86.5,8.5,24.4,29.5,62.1,21.6,28.8,.749,12.2,37.4,49.5,20.8,6.7,4.1,17.2,20.9,105.9
Atlanta Hawks,39.5,83.5,8.8,25.5,30.7,57.9,18.2,26.0,.698,10.8,34.8,45.5,25.4,9.8,5.3,17.5,17.5,105.8
Detroit Pistons,37.9,87.1,6.3,19.6,31.6,67.6,14.7,19.2,.766,9.6,34.9,44.6,20.6,7.1,4.1,11.4,16.3,96.9
Boston Celtics,37.9,85.1,10.6,29.5,27.3,55.6,17.5,22.8,.767,10.1,32.9,43.0,23.9,7.1,4.8,13.0,21.1,103.9
San Antonio Spurs,37.3,81.8,8.5,21.5,28.8,60.4,19.9,23.5,.846,9.2,33.5,42.7,22.6,8.0,6.1,11.9,18.8,103.0
New York Knicks,39.4,87.2,8.5,24.0,30.9,63.2,15.2,20.0,.758,12.0,32.9,44.9,21.2,7.2,5.0,14.5,21.4,102.4
Cleveland Cavaliers,38.8,87.3,12.8,34.1,26.0,53.3,18.1,23.8,.761,10.6,35.8,46.3,22.5,6.9,5.3,12.9,18.4,108.6
Philadelphia 76ers,36.8,84.2,10.1,28.7,26.8,55.5,14.0,19.5,.719,8.1,34.1,42.2,22.2,8.4,5.5,17.4,21.0,97.8
Charlotte Hornets,37.9,87.2,10.8,30.4,27.1,56.8,19.3,25.2,.765,8.5,37.0,45.5,24.7,7.8,5.0,11.3,18.1,105.9
Minnesota Timberwolves,38.0,82.7,9.3,23.7,28.7,59.0,19.7,26.4,.744,12.2,30.3,42.4,21.7,7.8,4.9,14.7,22.3,105.0
Memphis Grizzlies,34.5,81.7,8.4,25.2,26.2,56.5,19.4,24.4,.795,10.2,32.3,42.5,19.2,8.2,4.7,15.1,24.7,96.8
Washington Wizards,39.2,86.8,7.2,20.3,32.0,66.6,17.1,21.8,.785,11.6,31.8,43.3,19.9,8.1,4.4,14.8,21.9,102.6
Milwaukee Bucks,38.8,86.2,7.9,23.9,30.8,62.3,17.0,21.4,.794,10.8,34.4,45.3,24.1,8.6,4.9,15.3,22.1,102.4
Orlando Magic,34.9,85.1,8.2,25.0,26.8,60.1,14.5,20.2,.721,10.9,33.4,44.3,20.5,5.7,5.6,12.9,17.6,92.5
Miami Heat,37.3,87.2,8.3,23.8,28.9,63.3,13.3,20.3,.656,12.0,33.9,45.9,19.8,7.5,6.4,14.1,20.8,96.2
Dallas Mavericks,33.5,83.3,9.2,29.5,24.3,53.8,14.5,18.1,.802,8.8,31.5,40.3,16.9,8.1,4.3,12.7,18.6,90.7
