team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
Miami Heat,35.9,85.4,7.3,20.9,28.7,64.5,17.5,21.7,.808,11.3,34.8,46.2,18.7,6.8,5.2,14.0,18.3,96.6
Dallas Mavericks,35.7,78.6,10.5,26.5,25.2,52.1,16.3,21.8,.747,8.5,37.4,45.9,20.2,6.8,3.7,17.2,21.1,98.1
Charlotte Hornets,38.3,88.3,10.5,31.8,27.8,56.6,14.3,18.8,.757,9.4,37.5,46.9,23.1,6.3,5.1,14.1,21.5,101.3
Cleveland Cavaliers,38.9,89.3,9.8,27.8,29.2,61.5,14.0,18.9,.740,10.8,32.9,43.7,21.3,6.5,5.3,12.8,21.5,101.6
Minnesota Timberwolves,36.8,79.4,8.2,24.3,28.7,55.2,21.5,27.7,.777,9.1,30.9,40.0,19.8,7.9,5.5,15.3,21.4,103.3
Milwaukee Bucks,37.2,85.6,8.9,28.9,28.3,56.7,20.5,25.3,.812,11.0,33.3,44.3,23.8,9.1,5.4,14.0,20.2,103.8
Memphis Grizzlies,33.8,76.3,8.3,24.6,25.5,51.7,21.0,27.8,.754,7.8,32.2,40.0,19.1,8.1,5.2,15.2,22.7,97.0
San Antonio Spurs,35.9,81.5,8.8,26.0,27.2,55.5,17.0,22.3,.762,8.8,33.1,41.8,20.6,7.0,4.5,13.6,19.9,97.6
Washington Wizards,38.8,83.8,11.0,27.9,27.8,55.8,17.3,24.3,.715,10.3,32.4,42.7,23.0,8.4,4.3,14.9,21.2,106.0
Atlanta Hawks,37.5,87.8,8.7,26.7,28.8,61.1,15.0,19.7,.762,10.5,31.4,41.8,21.2,10.7,4.4,16.9,22.8,98.8
Orlando Magic,38.5,86.5,7.8,22.8,30.7,63.8,14.9,19.8,.755,10.8,35.5,46.2,21.2,6.8,5.8,12.1,18.7,99.8
Los Angeles Clippers,34.4,82.4,8.4,23.6,26.0,58.8,18.1,23.1,.783,10.3,32.7,43.0,19.4,6.4,3.3,16.6,24.7,95.4
Toronto Raptors,37.5,83.1,9.2,26.8,28.3,56.2,20.1,26.2,.768,10.4,33.7,44.1,21.9,6.1,4.8,15.1,20.6,104.2
Boston Celtics,38.2,86.7,9.2,26.2,29.0,60.5,19.2,24.7,.776,11.8,34.6,46.5,22.1,7.7,5.7,13.6,20.1,104.6
Detroit Pistons,36.7,85.4,8.4,23.9,28.3,61.4,15.4,19.2,.799,10.6,36.1,46.7,21.0,6.9,4.9,12.8,16.8,97.2
Houston Rockets,38.8,84.6,9.5,25.8,29.2,58.8,17.8,22.2,.803,9.2,31.2,40.3,20.9,9.1,5.1,13.8,18.2,104.9
New York Knicks,38.4,84.9,9.5,26.2,28.8,58.8,19.8,25.6,.775,11.8,32.4,44.2,20.5,8.2,4.3,13.9,19.1,106.2
Chicago Bulls,38.4,86.6,9.1,25.7,29.2,60.9,13.1,17.6,.744,10.6,31.1,41.8,23.1,7.5,4.9,12.9,19.9,98.9
Denver Nuggets,40.8,89.0,7.5,23.4,33.3,65.6,17.9,23.7,.756,9.5,31.8,41.3,23.2,9.2,5.5,12.4,24.0,106.9
Philadelphia 76ers,41.7,89.2,9.2,26.0,32.5,63.2,15.6,21.8,.717,10.9,35.3,46.2,23.1,9.1,5.8,13.5,19.1,108.2
Golden State Warriors,39.9,89.2,9.4,27.0,30.5,62.2,19.4,25.2,.771,12.2,32.1,44.2,23.3,8.9,3.4,14.7,20.4,108.6
Utah Jazz,35.7,81.7,7.7,22.1,28.0,59.6,15.9,21.1,.756,9.0,32.5,41.5,18.7,6.5,4.3,11.7,19.8,95.1
Oklahoma City Thunder,38.8,87.2,8.7,25.4,30.1,61.8,17.5,24.1,.725,10.0,32.2,42.2,20.6,8.9,5.9,15.1,19.1,103.8
Sacramento Kings,37.6,81.0,9.4,26.6,28.1,54.4,20.4,27.3,.749,10.0,31.8,41.8,23.3,8.0,6.1,13.9,22.5,105.0
Brooklyn Nets,42.6,91.2,10.1,28.2,32.5,63.0,18.0,23.1,.780,11.2,36.8,48.1,24.9,10.1,5.3,14.8,21.4,113.3
New Orleans Pelicans,39.6,89.9,10.6,29.4,29.0,60.5,17.9,22.1,.806,10.2,38.5,48.7,24.4,7.6,4.1,14.2,20.9,107.6
Indiana Pacers,39.9,88.5,10.1,29.8,29.9,58.7,17.9,22.6,.789,11.8,35.3,47.1,23.0,8.1,5.6,16.6,20.5,107.8
Los Angeles Lakers,40.9,86.1,8.6,26.4,32.3,59.7,19.1,25.2,.759,10.1,32.3,42.4,24.1,9.3,4.2,15.1,19.0,109.6
Phoenix Suns,40.9,87.6,9.9,25.4,31.1,62.2,23.1,29.5,.785,9.2,36.4,45.6,23.6,7.6,6.5,16.2,22.3,114.9
Portland Trail Blazers,40.2,89.9,8.5,25.7,31.7,64.2,23.3,29.3,.793,12.2,36.4,48.6,20.0,8.3,4.9,12.7,20.7,112.2
