team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_03,opp_pct_fga_03_10,opp_pct_fga_10_16,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_03,opp_fg_pct_03_10,opp_fg_pct_10_16,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,3120,.425,13.3,.697,.287,.136,.107,.166,.303,.471,.554,.420,.379,.431,.318,.475,.048,40,.235,106,.849,.247,.361
Boston Celtics,3120,.436,13.4,.692,.280,.169,.094,.149,.308,.474,.590,.379,.416,.394,.352,.468,.036,30,.254,133,.835,.225,.379
Brooklyn Nets,3120,.451,12.8,.699,.312,.151,.098,.139,.301,.491,.594,.399,.394,.426,.359,.542,.053,46,.282,156,.826,.240,.411
Chicago Bulls,3360,.441,12.8,.710,.272,.193,.100,.146,.290,.481,.608,.428,.413,.362,.344,.522,.036,34,.270,156,.885,.275,.301
Charlotte Hornets,2905,.429,14.0,.639,.296,.114,.082,.147,.361,.485,.565,.430,.389,.419,.331,.493,.042,33,.260,116,.867,.215,.279
Cleveland Cavaliers,2880,.447,13.6,.678,.277,.145,.108,.145,.322,.492,.646,.303,.481,.408,.352,.419,.031,26,.248,147,.865,.187,.373
Dallas Mavericks,2930,.461,14.1,.655,.265,.150,.072,.169,.345,.492,.641,.364,.456,.383,.401,.504,.047,36,.235,110,.743,.261,.408
Denver Nuggets,3170,.464,12.9,.739,.291,.150,.116,.183,.261,.515,.621,.483,.522,.363,.322,.524,.052,49,.243,135,.829,.196,.320
Detroit Pistons,3360,.428,13.0,.729,.260,.190,.110,.169,.271,.461,.623,.388,.319,.385,.341,.480,.034,31,.239,148,.842,.222,.355
Golden State Warriors,3120,.447,13.6,.697,.267,.167,.094,.168,.303,.495,.674,.382,.441,.355,.338,.504,.041,39,.245,147,.842,.201,.417
Houston Rockets,3120,.454,13.4,.698,.268,.175,.099,.157,.302,.494,.664,.413,.406,.342,.362,.428,.040,38,.236,152,.884,.256,.405
Indiana Pacers,3460,.451,14.0,.659,.280,.134,.086,.158,.341,.506,.616,.479,.356,.415,.344,.487,.048,46,.260,145,.852,.214,.421
Los Angeles Clippers,3360,.415,13.2,.723,.266,.163,.130,.165,.277,.436,.620,.348,.364,.282,.361,.494,.048,44,.233,125,.798,.248,.324
Los Angeles Lakers,3360,.465,12.6,.689,.329,.145,.086,.130,.311,.531,.696,.391,.322,.407,.318,.499,.063,62,.278,185,.874,.213,.333
Memphis Grizzlies,3170,.461,13.2,.681,.304,.150,.090,.137,.319,.512,.646,.398,.390,.419,.352,.477,.046,35,.277,139,.833,.271,.338
Miami Heat,2905,.415,12.5,.761,.264,.186,.142,.170,.239,.439,.510,.402,.414,.390,.339,.419,.027,21,.244,109,.934,.304,.397
Milwaukee Bucks,2905,.433,13.4,.668,.298,.147,.087,.136,.332,.499,.629,.350,.457,.402,.301,.550,.047,37,.250,136,.903,.291,.367
Minnesota Timberwolves,2880,.471,12.5,.689,.331,.148,.076,.133,.311,.525,.672,.408,.403,.359,.352,.464,.065,54,.275,143,.781,.205,.393
New Orleans Pelicans,3435,.448,13.0,.688,.296,.183,.095,.114,.312,.487,.657,.345,.353,.385,.361,.514,.049,48,.264,172,.893,.200,.403
New York Knicks,3120,.456,12.9,.687,.310,.154,.089,.133,.313,.496,.598,.446,.429,.360,.370,.447,.049,45,.269,145,.805,.235,.493
Oklahoma City Thunder,3410,.446,12.2,.709,.308,.184,.105,.111,.291,.495,.650,.347,.400,.405,.328,.446,.049,47,.271,166,.810,.266,.296
Orlando Magic,3120,.453,12.4,.744,.311,.163,.121,.149,.256,.495,.638,.409,.386,.385,.332,.474,.069,58,.248,152,.888,.216,.414
Philadelphia 76ers,3170,.471,12.9,.703,.298,.158,.088,.159,.297,.519,.651,.426,.479,.388,.356,.482,.052,51,.255,161,.832,.202,.438
Phoenix Suns,3435,.462,13.3,.706,.285,.138,.142,.141,.294,.495,.604,.401,.437,.427,.383,.478,.033,33,.252,151,.842,.188,.475
Portland Trail Blazers,3675,.444,12.8,.721,.302,.165,.105,.150,.279,.486,.582,.443,.398,.403,.333,.405,.049,49,.254,155,.734,.190,.290
Sacramento Kings,3410,.465,14.1,.672,.240,.169,.089,.176,.328,.523,.662,.494,.448,.392,.345,.556,.047,41,.213,125,.845,.298,.389
San Antonio Spurs,3120,.440,13.6,.678,.269,.176,.077,.157,.322,.495,.602,.421,.480,.399,.326,.488,.053,44,.243,131,.824,.281,.284
Toronto Raptors,3145,.450,12.9,.676,.311,.162,.086,.117,.324,.498,.607,.446,.342,.393,.350,.474,.057,44,.277,134,.808,.205,.393
Utah Jazz,3600,.433,13.0,.735,.296,.152,.099,.189,.265,.464,.573,.352,.340,.447,.347,.413,.039,35,.250,140,.781,.188,.385
Washington Wizards,2905,.460,13.9,.665,.274,.141,.110,.142,.335,.497,.643,.385,.455,.359,.386,.513,.042,37,.255,135,.832,.156,.500
