Visitor,Home,Prediction,Result,Prediction_Outcome
Phoenix Suns,Atlanta Hawks,,,
Philadelphia 76ers,Brooklyn Nets,,,
Milwaukee Bucks,Charlotte Hornets,,,
Miami Heat,Detroit Pistons,,,
Golden State Warriors,Houston Rockets,,,
Minnesota Timberwolves,Indiana Pacers,,,
Washington Wizards,Los Angeles Lakers,,,
Denver Nuggets,Portland Trail Blazers,,,
Phoenix Suns,Atlanta Hawks,,,
Philadelphia 76ers,Brooklyn Nets,,,
Milwaukee Bucks,Charlotte Hornets,,,
Miami Heat,Detroit Pistons,,,
Golden State Warriors,Houston Rockets,,,
Minnesota Timberwolves,Indiana Pacers,,,
Washington Wizards,Los Angeles Lakers,,,
Denver Nuggets,Portland Trail Blazers,,,
