team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
San Antonio Spurs,37.1,83.0,8.3,24.5,28.8,58.5,16.6,21.4,.777,9.6,31.3,41.0,21.3,7.5,4.1,14.4,19.9,99.2
Dallas Mavericks,36.3,77.4,9.6,24.3,26.7,53.2,17.8,23.0,.774,8.7,35.4,44.1,20.4,6.4,3.4,15.4,19.3,100.1
Utah Jazz,35.9,82.5,8.1,22.7,27.8,59.9,15.6,20.3,.767,9.6,31.2,40.8,17.7,7.0,3.5,12.1,20.6,95.5
Philadelphia 76ers,38.6,85.7,9.2,25.6,29.5,60.0,18.9,25.2,.751,10.8,33.9,44.7,21.8,8.5,5.1,14.7,20.2,105.4
Cleveland Cavaliers,40.0,87.7,10.3,28.5,29.6,59.2,15.1,19.6,.773,10.8,33.0,43.8,24.3,7.6,5.0,13.8,21.7,105.4
Detroit Pistons,37.7,82.4,9.1,24.5,28.7,57.9,17.1,21.9,.779,8.4,34.1,42.6,23.2,7.0,4.3,12.8,17.2,101.6
Washington Wizards,38.7,84.1,9.9,27.2,28.8,56.9,17.9,23.9,.750,10.3,31.9,42.2,22.9,7.6,4.3,15.6,19.5,105.3
Atlanta Hawks,39.0,86.5,10.1,28.0,28.9,58.5,15.1,19.7,.768,10.7,33.0,43.7,22.3,8.9,5.0,15.7,20.8,103.2
Chicago Bulls,39.3,85.8,8.7,23.9,30.6,61.9,14.2,18.6,.761,10.3,32.4,42.7,23.9,7.4,4.9,13.3,19.2,101.5
Memphis Grizzlies,34.4,78.6,9.7,28.4,24.7,50.2,21.1,28.3,.746,8.8,33.6,42.4,19.8,6.7,5.1,14.6,21.1,99.6
Miami Heat,38.2,85.1,8.3,23.7,30.0,61.4,17.5,22.5,.778,10.1,34.4,44.6,20.5,6.5,5.3,13.2,18.7,102.3
Toronto Raptors,37.9,83.4,9.9,27.4,28.0,56.0,18.7,24.0,.780,10.7,32.7,43.4,22.3,6.3,4.6,15.6,20.6,104.4
Indiana Pacers,38.8,86.0,10.3,29.4,28.5,56.6,18.9,24.0,.789,11.2,34.3,45.5,23.2,8.4,5.2,15.5,20.2,106.8
Milwaukee Bucks,38.0,84.4,10.7,29.8,27.3,54.6,18.0,23.2,.776,10.5,32.1,42.7,24.4,7.5,5.3,14.5,19.5,104.6
Minnesota Timberwolves,38.6,82.1,9.2,25.8,29.4,56.3,18.2,23.5,.776,9.2,30.8,40.1,22.1,7.9,5.1,14.3,20.8,104.7
Golden State Warriors,38.9,89.9,9.2,28.7,29.7,61.2,17.7,23.3,.759,11.5,31.5,43.0,22.0,8.9,3.8,15.0,20.2,104.7
Oklahoma City Thunder,39.3,86.4,8.9,25.0,30.4,61.4,17.7,23.6,.751,9.9,31.6,41.5,21.8,8.3,5.2,13.9,21.0,105.2
Boston Celtics,38.6,85.3,9.3,26.4,29.3,58.9,19.1,24.8,.771,11.0,33.8,44.8,23.1,7.3,5.3,14.3,19.5,105.7
Sacramento Kings,37.7,81.4,10.9,29.0,26.8,52.4,19.4,24.8,.780,10.0,32.5,42.5,23.1,8.2,5.6,14.7,21.5,105.8
Charlotte Hornets,39.2,87.8,10.9,30.6,28.3,57.2,14.4,18.5,.779,9.2,35.2,44.3,23.8,6.9,6.0,12.6,20.3,103.6
Los Angeles Clippers,38.3,85.4,8.8,25.1,29.5,60.2,18.5,24.1,.767,10.2,32.9,43.1,22.4,7.2,3.4,13.4,22.2,103.9
New Orleans Pelicans,39.8,89.7,10.7,30.1,29.1,59.6,16.0,20.7,.772,10.5,38.7,49.2,23.6,7.3,4.7,13.6,19.2,106.2
Orlando Magic,39.8,85.9,9.2,25.6,30.6,60.3,16.5,21.6,.764,9.8,35.5,45.3,22.7,7.5,5.2,13.0,18.6,105.4
Denver Nuggets,41.7,88.3,9.3,25.3,32.3,63.0,18.4,23.3,.789,9.3,30.9,40.2,23.8,8.4,5.0,11.8,21.3,111.1
New York Knicks,39.3,87.3,9.7,27.6,29.6,59.7,19.7,25.0,.787,11.2,32.8,44.0,22.3,7.9,4.8,12.9,18.1,108.1
Phoenix Suns,40.0,85.2,9.9,25.6,30.2,59.6,22.1,28.2,.786,9.9,33.1,43.0,22.2,7.8,5.6,15.4,21.6,112.0
Portland Trail Blazers,39.3,86.5,10.0,26.3,29.3,60.2,21.5,27.1,.793,10.6,34.6,45.2,21.2,8.0,5.3,13.4,19.7,110.2
Houston Rockets,40.2,87.3,10.2,28.3,30.1,59.1,17.6,22.6,.780,10.3,32.2,42.5,22.8,8.8,4.9,15.1,20.1,108.3
Brooklyn Nets,43.0,92.1,10.6,28.6,32.4,63.5,18.7,24.3,.771,11.3,36.5,47.8,23.5,9.8,5.9,13.3,20.1,115.2
Los Angeles Lakers,41.2,86.1,10.0,27.5,31.2,58.6,17.7,23.5,.754,10.4,34.0,44.4,24.9,8.5,5.4,13.8,18.7,110.1
