team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_03,opp_pct_fga_03_10,opp_pct_fga_10_16,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_03,opp_fg_pct_03_10,opp_fg_pct_10_16,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,11910,.450,13.9,.673,.264,.134,.112,.164,.327,.493,.589,.428,.419,.441,.361,.481,.043,162,.224,505,.826,.236,.420
Boston Celtics,11835,.454,13.4,.689,.283,.162,.095,.148,.311,.503,.620,.413,.424,.426,.345,.508,.043,170,.248,579,.849,.210,.366
Brooklyn Nets,11810,.464,13.3,.691,.285,.151,.104,.151,.309,.508,.617,.425,.401,.457,.368,.469,.050,212,.254,623,.793,.234,.383
Chicago Bulls,12025,.456,12.7,.719,.311,.156,.098,.154,.281,.493,.604,.402,.400,.420,.361,.531,.048,192,.281,657,.858,.245,.407
Charlotte Hornets,12075,.447,14.1,.649,.290,.113,.094,.152,.351,.496,.575,.432,.447,.422,.357,.508,.034,131,.259,619,.864,.217,.388
Cleveland Cavaliers,11595,.453,13.3,.678,.294,.150,.102,.131,.322,.499,.632,.377,.413,.409,.357,.530,.045,168,.252,614,.825,.241,.354
Dallas Mavericks,11835,.469,13.7,.686,.262,.147,.109,.169,.314,.504,.669,.422,.402,.384,.393,.481,.043,151,.220,523,.791,.258,.429
Denver Nuggets,11595,.474,13.2,.713,.284,.150,.108,.171,.288,.514,.631,.477,.449,.393,.374,.494,.048,189,.243,593,.831,.208,.439
Detroit Pistons,11810,.458,13.4,.702,.264,.165,.115,.158,.298,.496,.642,.389,.439,.406,.370,.536,.036,130,.231,558,.856,.228,.365
Golden State Warriors,11835,.434,13.6,.681,.275,.158,.101,.146,.319,.487,.626,.380,.396,.405,.321,.491,.045,184,.239,602,.832,.207,.356
Houston Rockets,12555,.460,13.4,.678,.286,.169,.082,.140,.322,.510,.688,.410,.351,.361,.356,.487,.046,200,.256,736,.816,.240,.393
Indiana Pacers,11645,.450,14.2,.656,.263,.144,.094,.155,.344,.504,.629,.441,.439,.389,.346,.497,.047,174,.247,571,.875,.250,.376
Los Angeles Clippers,11810,.448,13.4,.707,.267,.152,.124,.164,.293,.489,.648,.435,.382,.360,.349,.510,.048,186,.234,575,.839,.222,.375
Los Angeles Lakers,12240,.477,13.3,.682,.293,.148,.094,.147,.318,.529,.679,.434,.405,.402,.366,.526,.063,251,.241,654,.854,.208,.399
Memphis Grizzlies,12440,.436,14.0,.641,.277,.145,.086,.133,.359,.490,.615,.412,.384,.382,.340,.474,.042,156,.250,553,.834,.233,.388
Miami Heat,12075,.448,12.7,.721,.293,.164,.120,.144,.279,.488,.583,.443,.449,.380,.343,.448,.040,157,.258,576,.841,.245,.361
Milwaukee Bucks,11595,.450,13.3,.647,.315,.135,.090,.108,.353,.500,.624,.408,.357,.372,.359,.549,.052,190,.265,604,.877,.303,.404
Minnesota Timberwolves,11835,.471,13.0,.682,.316,.139,.093,.134,.318,.524,.652,.431,.405,.403,.357,.488,.060,229,.266,620,.856,.212,.404
New Orleans Pelicans,12175,.447,13.6,.667,.284,.158,.096,.130,.333,.492,.644,.381,.365,.386,.357,.502,.052,217,.243,630,.836,.220,.366
New York Knicks,12415,.452,12.8,.687,.322,.147,.086,.132,.313,.499,.600,.422,.398,.404,.348,.480,.050,201,.280,684,.842,.222,.410
Oklahoma City Thunder,12100,.457,12.1,.713,.327,.177,.096,.113,.287,.499,.622,.393,.403,.392,.352,.466,.053,204,.279,688,.842,.229,.373
Orlando Magic,12315,.463,13.0,.700,.310,.149,.103,.138,.300,.506,.622,.453,.382,.394,.363,.494,.061,223,.256,636,.836,.218,.414
Philadelphia 76ers,11620,.454,13.1,.702,.294,.153,.106,.149,.298,.493,.633,.366,.437,.386,.363,.487,.050,192,.254,593,.829,.216,.420
Phoenix Suns,11885,.471,13.2,.700,.298,.140,.108,.153,.300,.507,.642,.378,.438,.414,.388,.466,.048,183,.257,624,.820,.212,.460
Portland Trail Blazers,12150,.453,13.4,.694,.272,.165,.105,.153,.306,.486,.576,.431,.442,.413,.379,.452,.040,152,.235,526,.816,.192,.358
Sacramento Kings,11885,.465,14.2,.639,.250,.167,.078,.145,.361,.516,.656,.439,.431,.408,.374,.522,.051,182,.222,523,.848,.244,.432
San Antonio Spurs,11570,.445,13.0,.702,.293,.160,.100,.149,.298,.491,.612,.369,.425,.428,.338,.498,.051,185,.255,559,.838,.255,.336
Toronto Raptors,12075,.455,13.3,.670,.281,.178,.091,.120,.330,.500,.656,.390,.390,.383,.363,.496,.053,206,.254,592,.836,.236,.362
Utah Jazz,12025,.435,12.7,.725,.296,.169,.112,.148,.275,.464,.591,.370,.358,.401,.357,.408,.048,171,.250,550,.785,.195,.385
Washington Wizards,11595,.458,13.6,.677,.287,.143,.098,.149,.323,.504,.635,.388,.451,.402,.361,.507,.048,179,.246,571,.839,.217,.392
