Visitor,Home,Prediction,Result,Prediction_Outcome
New Orleans Pelicans,Boston Celtics,,,
Toronto Raptors,Chicago Bulls,,,
Atlanta Hawks,Dallas Mavericks,,,
New York Knicks,Indiana Pacers,,,
Utah Jazz,Minnesota Timberwolves,,,
Denver Nuggets,Oklahoma City Thunder,,,
Detroit Pistons,Portland Trail Blazers,,,
Charlotte Hornets,San Antonio Spurs,,,
New Orleans Pelicans,Boston Celtics,,,
Toronto Raptors,Chicago Bulls,,,
Atlanta Hawks,Dallas Mavericks,,,
New York Knicks,Indiana Pacers,,,
Utah Jazz,Minnesota Timberwolves,,,
Denver Nuggets,Oklahoma City Thunder,,,
Detroit Pistons,Portland Trail Blazers,,,
Charlotte Hornets,San Antonio Spurs,,,
