team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.454,13.0,.697,.322,.125,.097,.153,.303,.504,.632,.349,.405,.420,.340,.539,.054,155,.278,492,.898,.235,.406,4,0
Boston Celtics,.451,14.1,.629,.290,.142,.071,.124,.371,.500,.616,.375,.432,.413,.369,.560,.027,81,.276,504,.856,.211,.466,9,0
Brooklyn Nets,.441,13.3,.617,.302,.179,.069,.068,.383,.504,.595,.448,.403,.352,.338,.426,.031,86,.300,515,.864,.213,.352,3,0
Chicago Bulls,.435,12.4,.765,.291,.171,.127,.176,.235,.472,.567,.470,.401,.367,.315,.498,.037,107,.267,452,.857,.245,.395,5,0
Charlotte Hornets,.441,13.3,.689,.295,.144,.098,.152,.311,.482,.608,.393,.390,.381,.351,.563,.033,101,.268,493,.783,.145,.374,6,0
Cleveland Cavaliers,.458,14.3,.612,.283,.119,.100,.109,.388,.502,.649,.328,.412,.390,.389,.427,.052,143,.240,426,.827,.284,.429,4,0
Dallas Mavericks,.430,15.3,.632,.203,.127,.121,.182,.368,.479,.634,.419,.443,.375,.346,.440,.037,101,.169,291,.824,.196,.370,5,0
Denver Nuggets,.451,12.6,.691,.322,.164,.085,.121,.309,.492,.596,.424,.369,.395,.358,.488,.047,136,.280,486,.885,.204,.382,8,0
Detroit Pistons,.451,12.9,.739,.251,.195,.138,.155,.261,.490,.639,.397,.440,.411,.341,.465,.043,135,.210,414,.851,.219,.407,16,0
Golden State Warriors,.499,14.1,.646,.297,.107,.112,.130,.354,.565,.702,.448,.444,.451,.378,.658,.070,222,.235,485,.860,.208,.373,14,0
Houston Rockets,.470,14.5,.541,.310,.133,.041,.058,.459,.552,.681,.378,.379,.393,.374,.547,.071,215,.262,549,.780,.200,.406,9,0
Indiana Pacers,.460,13.4,.736,.241,.187,.111,.195,.264,.493,.617,.468,.404,.414,.367,.496,.031,94,.238,446,.854,.246,.393,10,1
Los Angeles Clippers,.464,14.2,.675,.272,.121,.086,.196,.325,.506,.641,.365,.419,.443,.377,.498,.064,188,.226,428,.776,.220,.404,8,0
Los Angeles Lakers,.448,12.9,.698,.280,.182,.113,.122,.302,.489,.653,.356,.399,.397,.354,.447,.054,174,.232,482,.805,.212,.383,8,1
Memphis Grizzlies,.425,13.5,.694,.279,.163,.097,.155,.306,.459,.555,.425,.386,.365,.348,.487,.030,87,.263,459,.831,.196,.436,12,0
Miami Heat,.438,12.9,.706,.291,.170,.092,.153,.294,.478,.606,.377,.390,.401,.341,.446,.049,147,.245,442,.914,.310,.386,7,0
Milwaukee Bucks,.474,11.6,.714,.372,.162,.072,.108,.286,.518,.642,.388,.350,.403,.365,.538,.080,217,.289,492,.920,.276,.359,6,0
Minnesota Timberwolves,.453,12.8,.723,.299,.157,.093,.175,.277,.491,.612,.417,.405,.395,.352,.514,.054,158,.249,422,.848,.249,.400,4,0
New Orleans Pelicans,.437,13.4,.703,.270,.166,.109,.156,.297,.473,.602,.406,.384,.384,.351,.528,.041,122,.240,437,.829,.197,.366,5,0
New York Knicks,.444,13.2,.718,.294,.121,.138,.165,.282,.475,.595,.365,.420,.385,.366,.457,.043,130,.257,452,.857,.219,.459,16,0
Oklahoma City Thunder,.459,12.1,.699,.349,.143,.107,.099,.301,.514,.631,.406,.403,.377,.330,.466,.061,179,.289,545,.813,.278,.360,11,1
Orlando Magic,.438,13.6,.695,.255,.175,.111,.156,.305,.482,.620,.406,.449,.361,.337,.493,.037,113,.225,427,.887,.176,.309,11,0
Philadelphia 76ers,.434,13.8,.648,.274,.148,.105,.121,.352,.478,.623,.369,.365,.384,.352,.515,.035,95,.249,419,.858,.162,.417,5,0
Phoenix Suns,.445,12.7,.732,.310,.144,.118,.159,.268,.482,.619,.403,.370,.371,.343,.377,.049,147,.267,508,.822,.292,.327,13,0
Portland Trail Blazers,.461,13.8,.664,.274,.149,.091,.149,.336,.509,.621,.409,.441,.448,.365,.470,.047,146,.232,436,.817,.213,.372,8,0
Sacramento Kings,.450,12.9,.700,.281,.189,.080,.149,.300,.492,.636,.424,.385,.367,.353,.491,.047,127,.271,482,.877,.248,.395,9,0
San Antonio Spurs,.476,13.5,.728,.250,.163,.109,.207,.272,.500,.635,.408,.393,.463,.413,.532,.047,124,.214,374,.889,.278,.463,7,0
Toronto Raptors,.468,13.5,.712,.242,.181,.124,.165,.288,.502,.626,.461,.441,.407,.386,.383,.044,125,.213,375,.800,.259,.387,5,1
Utah Jazz,.463,13.5,.664,.282,.150,.099,.134,.336,.511,.650,.432,.421,.371,.368,.434,.059,163,.228,400,.796,.240,.358,7,0
Washington Wizards,.471,13.0,.732,.285,.149,.116,.182,.268,.513,.630,.451,.437,.430,.356,.499,.036,99,.259,476,.837,.255,.327,4,0
