team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,31,7,11.84,-0.65,11.19,116.1,104.4,100.4,.272,.354,.602,.566,13.4,22.4,.216,.486,13.0,75.3,.204
San Antonio Spurs,29.8,28,9,8.49,-0.04,8.45,112.7,103.7,93.8,.269,.272,.575,.533,12.5,23.4,.221,.494,13.5,78.1,.195
Houston Rockets,27.3,28,11,7.67,-0.17,7.49,115.6,107.9,98.4,.275,.459,.589,.556,13.9,26.0,.208,.509,13.0,76.0,.203
Toronto Raptors,26.1,26,11,6.19,0.54,6.73,115.4,108.9,95.3,.310,.288,.572,.524,11.1,25.1,.252,.514,14.4,73.6,.216
Cleveland Cavaliers,29.0,25,11,6.69,-0.21,6.48,114.0,107.0,96.5,.297,.388,.572,.534,12.5,24.2,.226,.507,12.4,75.8,.169
Los Angeles Clippers,30.1,27,13,5.45,-0.63,4.82,111.5,105.9,96.2,.312,.325,.566,.525,12.1,22.1,.236,.492,12.6,76.6,.221
Utah Jazz,26.5,24,15,3.33,-0.26,3.07,108.3,104.6,90.8,.296,.336,.563,.525,13.6,21.7,.225,.480,11.4,76.8,.186
Boston Celtics,25.9,21,16,2.38,-0.22,2.16,111.0,108.6,95.9,.251,.371,.559,.519,11.6,21.6,.203,.504,13.0,74.2,.226
Milwaukee Bucks,25.6,20,16,2.06,-0.29,1.77,109.3,107.2,95.4,.270,.286,.562,.526,12.9,22.0,.205,.501,13.0,75.9,.211
Oklahoma City Thunder,24.6,21,17,1.55,-0.21,1.35,108.3,106.8,97.6,.300,.301,.546,.508,13.2,26.2,.220,.505,12.5,77.9,.205
Charlotte Hornets,26.7,21,17,1.71,-0.41,1.31,108.1,106.3,96.6,.303,.311,.542,.496,10.9,20.8,.237,.503,11.4,79.3,.162
Memphis Grizzlies,28.7,21,19,0.70,0.27,0.97,104.9,104.2,92.7,.280,.306,.524,.479,12.1,23.8,.220,.495,14.3,78.6,.265
Chicago Bulls,27.7,19,18,0.57,-0.34,0.23,107.6,107.0,94.3,.280,.235,.521,.472,12.2,30.1,.227,.503,12.1,76.0,.171
Detroit Pistons,25.5,20,20,0.00,0.19,0.19,106.2,106.2,94.0,.218,.261,.527,.496,11.1,22.6,.163,.507,12.0,80.6,.201
Washington Wizards,26.1,17,19,-0.56,-0.23,-0.79,108.1,108.7,96.7,.248,.268,.555,.519,13.4,23.7,.193,.529,14.4,76.5,.213
Atlanta Hawks,28.3,18,19,-0.46,-0.40,-0.86,104.4,104.9,97.4,.269,.303,.539,.506,14.2,24.1,.194,.506,14.0,76.8,.171
Indiana Pacers,27.1,19,19,-0.39,-1.11,-1.51,107.1,107.5,97.7,.269,.264,.553,.508,12.7,19.9,.221,.504,13.5,74.7,.211
Minnesota Timberwolves,23.6,16,21,-1.78,0.03,-1.76,108.8,110.7,94.2,.282,.277,.544,.501,13.4,27.9,.221,.529,13.4,76.8,.225
Portland Trail Blazers,25.1,15,24,-3.31,0.94,-2.37,109.7,113.0,97.4,.280,.336,.562,.522,12.6,21.4,.218,.516,11.7,75.8,.255
Sacramento Kings,28.9,15,22,-2.70,0.14,-2.56,107.3,110.2,94.5,.292,.300,.547,.503,12.9,21.6,.227,.528,13.9,75.9,.233
New Orleans Pelicans,25.5,15,23,-3.42,0.62,-2.80,103.0,106.4,97.7,.260,.297,.527,.489,11.6,18.2,.196,.500,11.9,77.4,.176
New York Knicks,27.5,15,22,-3.11,0.10,-3.01,107.7,110.9,97.3,.241,.282,.534,.496,12.6,26.4,.189,.509,12.0,74.6,.231
Denver Nuggets,25.2,15,22,-3.19,0.16,-3.03,109.2,112.5,98.0,.293,.309,.546,.506,13.6,28.1,.221,.526,10.7,79.3,.218
Miami Heat,26.2,14,25,-4.21,0.25,-3.96,102.8,107.2,94.7,.248,.294,.515,.488,12.3,24.0,.167,.497,12.1,76.2,.204
Dallas Mavericks,27.7,12,25,-5.43,1.39,-4.04,103.6,109.5,91.4,.217,.368,.530,.494,12.1,19.2,.174,.537,14.8,78.3,.229
Los Angeles Lakers,26.0,15,26,-4.41,0.38,-4.04,107.3,111.8,98.1,.276,.302,.542,.502,13.7,25.9,.213,.534,12.9,75.4,.209
Orlando Magic,25.6,13,26,-4.79,-0.56,-5.36,103.3,108.3,95.3,.232,.305,.519,.489,12.0,22.3,.165,.509,11.9,76.7,.190
Phoenix Suns,25.9,12,26,-6.03,0.61,-5.41,104.6,110.6,99.9,.284,.268,.533,.491,13.9,26.2,.217,.524,14.1,77.1,.261
Philadelphia 76ers,25.1,10,25,-6.63,-0.56,-7.19,101.0,107.7,97.1,.242,.352,.531,.496,15.2,21.3,.183,.508,13.0,75.9,.221
Brooklyn Nets,26.4,9,27,-8.67,0.60,-8.06,102.9,111.4,101.8,.287,.383,.548,.505,15.3,19.9,.225,.517,11.8,75.6,.205
