team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,15,3,12.72,-1.32,11.40,117.1,104.4,100.5,.272,.365,.607,.572,13.3,22.0,.217,.481,12.9,74.4,.202
Los Angeles Clippers,29.9,15,4,9.63,-0.80,8.83,111.3,101.4,96.5,.353,.317,.566,.521,11.7,20.5,.267,.483,14.2,77.9,.207
Cleveland Cavaliers,29.2,12,4,7.56,-1.38,6.19,114.2,106.5,97.4,.284,.408,.569,.531,11.8,24.1,.220,.503,11.8,76.5,.154
Toronto Raptors,26.1,11,6,4.82,1.18,6.00,113.9,108.9,95.2,.308,.272,.565,.517,10.9,24.7,.249,.519,14.4,75.8,.232
San Antonio Spurs,29.8,12,6,4.78,0.73,5.51,110.6,105.4,93.4,.296,.273,.564,.513,12.2,22.1,.248,.504,13.1,78.3,.185
Chicago Bulls,27.8,11,5,6.31,-1.50,4.81,110.7,104.1,95.1,.275,.240,.531,.484,11.7,30.1,.224,.492,12.2,76.4,.155
Utah Jazz,26.3,13,6,4.89,-0.14,4.76,107.9,102.6,91.4,.289,.327,.558,.517,12.4,20.2,.223,.471,11.3,78.8,.195
Houston Rockets,27.2,11,7,3.00,-0.10,2.90,113.3,110.2,96.5,.255,.430,.577,.547,14.5,27.2,.191,.524,12.8,77.9,.217
Detroit Pistons,25.9,11,8,1.63,0.81,2.45,104.4,102.7,94.1,.214,.228,.517,.483,10.8,21.4,.165,.483,12.4,77.4,.195
Atlanta Hawks,28.2,10,8,2.11,-0.40,1.71,102.5,100.4,99.0,.279,.311,.538,.507,15.4,24.3,.194,.484,14.5,77.7,.170
Charlotte Hornets,26.8,10,8,1.94,-0.24,1.70,106.5,104.5,97.3,.308,.337,.539,.498,10.8,19.2,.228,.500,12.0,79.8,.153
Oklahoma City Thunder,24.5,11,8,1.79,-0.10,1.69,106.7,104.9,98.7,.265,.288,.542,.508,13.7,25.3,.195,.499,12.7,77.9,.199
Boston Celtics,25.7,9,8,1.06,0.00,1.06,108.5,107.4,96.3,.241,.356,.549,.514,11.7,21.7,.186,.491,12.8,73.9,.222
Milwaukee Bucks,25.5,8,8,0.44,-0.64,-0.20,105.9,105.5,96.3,.243,.283,.541,.504,13.5,23.5,.189,.489,13.2,76.6,.233
Denver Nuggets,25.0,7,10,-1.88,1.19,-0.69,105.8,107.7,99.3,.321,.286,.531,.485,13.7,27.2,.242,.504,10.8,80.5,.214
Memphis Grizzlies,28.8,9,9,-0.39,-0.58,-0.97,102.1,102.5,92.7,.287,.305,.520,.473,13.2,22.4,.225,.494,14.2,80.5,.257
Miami Heat,25.8,7,10,-2.18,0.74,-1.43,101.6,103.9,93.9,.258,.299,.504,.475,12.4,25.0,.173,.476,12.7,76.0,.221
Minnesota Timberwolves,23.6,8,9,-0.94,-0.63,-1.57,107.9,108.8,95.5,.308,.283,.544,.499,13.6,26.8,.237,.524,14.7,76.8,.253
Sacramento Kings,29.0,8,10,-2.06,0.19,-1.87,107.1,109.2,94.7,.303,.280,.547,.503,13.4,22.4,.235,.521,13.4,77.0,.249
Los Angeles Lakers,26.1,7,12,-3.42,1.40,-2.03,107.5,111.0,99.6,.256,.303,.551,.512,13.7,24.2,.202,.537,13.1,77.5,.205
New Orleans Pelicans,25.7,8,11,-2.11,-0.23,-2.33,102.9,105.0,98.3,.274,.285,.535,.493,12.1,17.0,.213,.494,12.5,78.3,.190
Indiana Pacers,27.3,8,10,-1.61,-0.83,-2.44,103.2,104.8,98.0,.217,.258,.532,.499,13.5,21.2,.168,.499,14.8,74.4,.212
New York Knicks,27.6,7,10,-3.35,0.87,-2.48,106.8,110.2,96.2,.217,.277,.529,.494,12.3,26.1,.170,.507,12.4,73.8,.232
Washington Wizards,26.2,7,9,-2.44,-0.36,-2.80,104.8,107.3,96.1,.248,.249,.528,.490,13.4,25.7,.191,.520,14.3,75.0,.203
Portland Trail Blazers,25.1,7,12,-4.05,0.56,-3.49,109.3,113.3,98.8,.269,.346,.559,.518,12.4,20.4,.214,.515,11.1,75.1,.246
Orlando Magic,25.4,5,13,-5.72,-0.75,-6.48,98.0,104.0,94.2,.234,.288,.491,.457,12.6,23.6,.169,.487,12.0,77.3,.176
Phoenix Suns,25.7,6,12,-6.11,-0.51,-6.63,102.5,108.4,101.7,.304,.256,.527,.482,13.7,24.0,.230,.508,13.3,78.5,.260
Dallas Mavericks,27.6,3,13,-8.88,1.45,-7.43,97.8,107.2,92.4,.216,.352,.504,.466,12.7,20.0,.173,.526,15.3,78.9,.217
Brooklyn Nets,26.7,4,13,-8.29,0.43,-7.87,103.1,111.1,101.8,.277,.399,.545,.504,14.7,19.5,.216,.531,12.7,75.9,.182
Philadelphia 76ers,25.2,4,14,-10.00,0.72,-9.28,98.4,108.5,97.3,.224,.345,.527,.497,16.0,19.5,.164,.509,11.9,75.4,.192
