Visitor,Home,Prediction,Result,Prediction_Outcome
Philadelphia 76ers,Boston Celtics
Washington Wizards,Charlotte Hornets
Miami Heat,Detroit Pistons
Memphis Grizzlies,Houston Rockets
Utah Jazz,Los Angeles Clippers
Sacramento Kings,Milwaukee Bucks
Atlanta Hawks,Minnesota Timberwolves
Brooklyn Nets,Oklahoma City Thunder
New York Knicks,Orlando Magic
New Orleans Pelicans,Phoenix Suns
Dallas Mavericks,San Antonio Spurs
Cleveland Cavaliers,Toronto Raptors
