Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Lakers,Boston Celtics
Indiana Pacers,Chicago Bulls
Los Angeles Clippers,Charlotte Hornets
Golden State Warriors,Dallas Mavericks
Utah Jazz,Minnesota Timberwolves
Brooklyn Nets,Orlando Magic
Denver Nuggets,Portland Trail Blazers
Philadelphia 76ers,Sacramento Kings
Phoenix Suns,San Antonio Spurs
Washington Wizards,Toronto Raptors
