Visitor,Home,Prediction,Result,Prediction_Outcome
Oklahoma City Thunder,Boston Celtics
Orlando Magic,Charlotte Hornets
Dallas Mavericks,Cleveland Cavaliers
Atlanta Hawks,Detroit Pistons
New York Knicks,Golden State Warriors
Los Angeles Clippers,Houston Rockets
Minnesota Timberwolves,Memphis Grizzlies
New Orleans Pelicans,Sacramento Kings
Chicago Bulls,Washington Wizards
