Visitor,Home,Prediction,Result,Prediction_Outcome
Portland Trail Blazers,Dallas Mavericks,,,
Utah Jazz,Milwaukee Bucks,,,
Los Angeles Clippers,New Orleans Pelicans,,,
Sacramento Kings,New York Knicks,,,
Boston Celtics,Philadelphia 76ers,,,
Orlando Magic,Toronto Raptors,,,
