Visitor,Home,Prediction,Result,Prediction_Outcome
Oklahoma City Thunder,Denver Nuggets
Milwaukee Bucks,Miami Heat
Minnesota Timberwolves,New Orleans Pelicans
Indiana Pacers,Phoenix Suns
