Visitor,Home,Prediction,Result,Prediction_Outcome
Detroit Pistons,Boston Celtics
Toronto Raptors,Brooklyn Nets
New York Knicks,Miami Heat
Denver Nuggets,Minnesota Timberwolves
Dallas Mavericks,New Orleans Pelicans
Memphis Grizzlies,Oklahoma City Thunder
Indiana Pacers,Orlando Magic
Charlotte Hornets,Phoenix Suns
Los Angeles Clippers,Portland Trail Blazers
Utah Jazz,San Antonio Spurs
Cleveland Cavaliers,Washington Wizards
