Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Chicago Bulls
Sacramento Kings,Houston Rockets
Orlando Magic,Los Angeles Clippers
Cleveland Cavaliers,Miami Heat
New York Knicks,Milwaukee Bucks
Portland Trail Blazers,Minnesota Timberwolves
Denver Nuggets,Philadelphia 76ers
Boston Celtics,San Antonio Spurs
Golden State Warriors,Toronto Raptors
Indiana Pacers,Utah Jazz
