Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Lakers,Golden State Warriors
Detroit Pistons,Memphis Grizzlies
Toronto Raptors,Orlando Magic
Chicago Bulls,Philadelphia 76ers
Cleveland Cavaliers,San Antonio Spurs
Sacramento Kings,Utah Jazz
