Visitor,Home,Prediction,Result,Prediction_Outcome
Milwaukee Bucks,Boston Celtics
Oklahoma City Thunder,New Orleans Pelicans
Golden State Warriors,Orlando Magic
Brooklyn Nets,Phoenix Suns
Houston Rockets,Portland Trail Blazers
San Antonio Spurs,Utah Jazz
