Visitor,Home,Prediction,Result,Prediction_Outcome
Washington Wizards,Boston Celtics,,,
Los Angeles Lakers,Brooklyn Nets,,,
Philadelphia 76ers,Cleveland Cavaliers,,,
Denver Nuggets,Golden State Warriors,,,
Miami Heat,Indiana Pacers,,,
Atlanta Hawks,New Orleans Pelicans,,,
Milwaukee Bucks,New York Knicks,,,
Toronto Raptors,Orlando Magic,,,
Detroit Pistons,Phoenix Suns,,,
Houston Rockets,Sacramento Kings,,,
