Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Chicago Bulls
Minnesota Timberwolves,Cleveland Cavaliers
Atlanta Hawks,Denver Nuggets
San Antonio Spurs,Golden State Warriors
Orlando Magic,Memphis Grizzlies
Houston Rockets,New Orleans Pelicans
Charlotte Hornets,Sacramento Kings
Detroit Pistons,Utah Jazz
Boston Celtics,Washington Wizards
