Visitor,Home,Prediction,Result,Prediction_Outcome
Minnesota Timberwolves,Brooklyn Nets
Philadelphia 76ers,Cleveland Cavaliers
New Orleans Pelicans,Denver Nuggets
Portland Trail Blazers,Miami Heat
Atlanta Hawks,Orlando Magic
Milwaukee Bucks,Phoenix Suns
Sacramento Kings,Toronto Raptors
