Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Brooklyn Nets
Oklahoma City Thunder,Los Angeles Lakers
Denver Nuggets,Memphis Grizzlies
Dallas Mavericks,Milwaukee Bucks
Cleveland Cavaliers,Minnesota Timberwolves
Indiana Pacers,New Orleans Pelicans
Miami Heat,Phoenix Suns
Golden State Warriors,Portland Trail Blazers
New York Knicks,San Antonio Spurs
Toronto Raptors,Washington Wizards
