Visitor,Home,Prediction,Result,Prediction_Outcome
Phoenix Suns,Chicago Bulls
Detroit Pistons,Charlotte Hornets
Washington Wizards,Miami Heat
Portland Trail Blazers,Milwaukee Bucks
Los Angeles Clippers,Minnesota Timberwolves
Boston Celtics,New Orleans Pelicans
Dallas Mavericks,New York Knicks
San Antonio Spurs,Philadelphia 76ers
Los Angeles Lakers,Toronto Raptors
