Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Clippers,Cleveland Cavaliers
Memphis Grizzlies,Denver Nuggets
Detroit Pistons,New Orleans Pelicans
San Antonio Spurs,Phoenix Suns
Atlanta Hawks,Sacramento Kings
