Visitor,Home,Prediction,Result,Prediction_Outcome
Portland Trail Blazers,Boston Celtics
Los Angeles Lakers,Denver Nuggets
New Orleans Pelicans,Houston Rockets
Oklahoma City Thunder,Los Angeles Clippers
Sacramento Kings,Memphis Grizzlies
Indiana Pacers,Milwaukee Bucks
Washington Wizards,Minnesota Timberwolves
Chicago Bulls,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
Detroit Pistons,San Antonio Spurs
Utah Jazz,Toronto Raptors
