Visitor,Home,Prediction,Result,Prediction_Outcome
Brooklyn Nets,Atlanta Hawks
New York Knicks,Cleveland Cavaliers
Los Angeles Clippers,Golden State Warriors
Orlando Magic,Houston Rockets
Boston Celtics,Indiana Pacers
Philadelphia 76ers,Milwaukee Bucks
Toronto Raptors,Oklahoma City Thunder
Sacramento Kings,Phoenix Suns
Portland Trail Blazers,Utah Jazz
San Antonio Spurs,Washington Wizards
