Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Denver Nuggets
Orlando Magic,Los Angeles Lakers
San Antonio Spurs,Minnesota Timberwolves
Washington Wizards,Portland Trail Blazers
Brooklyn Nets,Toronto Raptors
Atlanta Hawks,Utah Jazz
