Visitor,Home,Prediction,Result,Prediction_Outcome
Atlanta Hawks,Brooklyn Nets
Cleveland Cavaliers,Detroit Pistons
Toronto Raptors,Golden State Warriors
Minnesota Timberwolves,Miami Heat
Denver Nuggets,New Orleans Pelicans
Charlotte Hornets,New York Knicks
Milwaukee Bucks,Washington Wizards
