Visitor,Home,Prediction,Result,Prediction_Outcome
Portland Trail Blazers,Denver Nuggets
Phoenix Suns,Los Angeles Lakers
Atlanta Hawks,New York Knicks
Chicago Bulls,Toronto Raptors
Miami Heat,Washington Wizards
