Visitor,Home,Prediction,Result,Prediction_Outcome
Phoenix Suns,Charlotte Hornets
Orlando Magic,Dallas Mavericks
Atlanta Hawks,Golden State Warriors
Brooklyn Nets,Los Angeles Lakers
Chicago Bulls,Miami Heat
Portland Trail Blazers,New York Knicks
