Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Boston Celtics
Brooklyn Nets,Dallas Mavericks
Cleveland Cavaliers,Detroit Pistons
Los Angeles Lakers,Los Angeles Clippers
Miami Heat,Milwaukee Bucks
Phoenix Suns,New York Knicks
Houston Rockets,Oklahoma City Thunder
Charlotte Hornets,Portland Trail Blazers
Minnesota Timberwolves,Utah Jazz
