Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Atlanta Hawks
Minnesota Timberwolves,Dallas Mavericks
Toronto Raptors,Detroit Pistons
Portland Trail Blazers,Indiana Pacers
Miami Heat,New York Knicks
Philadelphia 76ers,Orlando Magic
Cleveland Cavaliers,Washington Wizards
