Visitor,Home,Prediction,Result,Prediction_Outcome
Utah Jazz,Denver Nuggets
Los Angeles Lakers,Houston Rockets
Brooklyn Nets,Indiana Pacers
Dallas Mavericks,Los Angeles Clippers
Orlando Magic,Miami Heat
Toronto Raptors,New York Knicks
Milwaukee Bucks,Philadelphia 76ers
Golden State Warriors,San Antonio Spurs
Charlotte Hornets,Washington Wizards
