Visitor,Home,Prediction,Result,Prediction_Outcome
Brooklyn Nets,Cleveland Cavaliers
Chicago Bulls,Houston Rockets
Orlando Magic,Indiana Pacers
Denver Nuggets,New Orleans Pelicans
Los Angeles Clippers,Oklahoma City Thunder
Boston Celtics,Portland Trail Blazers
