Visitor,Home,Prediction,Result,Prediction_Outcome
Philadelphia 76ers,Brooklyn Nets
Boston Celtics,Indiana Pacers
Sacramento Kings,Los Angeles Lakers
Toronto Raptors,Milwaukee Bucks
Denver Nuggets,Orlando Magic
Los Angeles Clippers,San Antonio Spurs
