Visitor,Home,Prediction,Result,Prediction_Outcome
Boston Celtics,Atlanta Hawks,,,
Los Angeles Clippers,Denver Nuggets,,,
Los Angeles Lakers,Golden State Warriors,,,
Dallas Mavericks,Memphis Grizzlies,,,
Chicago Bulls,Portland Trail Blazers,,,
Indiana Pacers,Washington Wizards,,,
