Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Clippers,Atlanta Hawks
Denver Nuggets,Boston Celtics
Phoenix Suns,Cleveland Cavaliers
Philadelphia 76ers,Detroit Pistons
Dallas Mavericks,Golden State Warriors
Oklahoma City Thunder,Minnesota Timberwolves
Houston Rockets,San Antonio Spurs
Charlotte Hornets,Utah Jazz
