Visitor,Home,Prediction,Result,Prediction_Outcome
Dallas Mavericks,Charlotte Hornets
New Orleans Pelicans,Golden State Warriors
Memphis Grizzlies,Houston Rockets
Denver Nuggets,Miami Heat
Portland Trail Blazers,Oklahoma City Thunder
Minnesota Timberwolves,Phoenix Suns
Chicago Bulls,Toronto Raptors
Cleveland Cavaliers,Utah Jazz
Detroit Pistons,Washington Wizards
