Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Lakers,Denver Nuggets
Detroit Pistons,Miami Heat
Memphis Grizzlies,Philadelphia 76ers
Dallas Mavericks,Toronto Raptors
