Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Clippers,Houston Rockets
Indiana Pacers,Memphis Grizzlies
Chicago Bulls,New York Knicks
Los Angeles Lakers,Oklahoma City Thunder
Charlotte Hornets,Washington Wizards
