Visitor,Home,Prediction,Result,Prediction_Outcome
Chicago Bulls,Charlotte Hornets
Toronto Raptors,Dallas Mavericks
Indiana Pacers,Detroit Pistons
Denver Nuggets,Los Angeles Lakers
Atlanta Hawks,Miami Heat
Orlando Magic,New Orleans Pelicans
Memphis Grizzlies,Sacramento Kings
