Visitor,Home,Prediction,Result,Prediction_Outcome
Cleveland Cavaliers,Brooklyn Nets
New Orleans Pelicans,Indiana Pacers
Portland Trail Blazers,Los Angeles Clippers
Chicago Bulls,New York Knicks
Utah Jazz,Oklahoma City Thunder
