Visitor,Home,Prediction,Result,Prediction_Outcome
Utah Jazz,Indiana Pacers
Sacramento Kings,Los Angeles Clippers
Brooklyn Nets,Memphis Grizzlies
Golden State Warriors,New Orleans Pelicans
Phoenix Suns,Portland Trail Blazers
New York Knicks,Washington Wizards
