Visitor,Home,Prediction,Result,Prediction_Outcome
Memphis Grizzlies,Miami Heat
Utah Jazz,Oklahoma City Thunder
Minnesota Timberwolves,Phoenix Suns
Philadelphia 76ers,Toronto Raptors
