Visitor,Home,Prediction,Result,Prediction_Outcome
San Antonio Spurs,Boston Celtics
Orlando Magic,Chicago Bulls
Atlanta Hawks,Charlotte Hornets
Dallas Mavericks,Los Angeles Lakers
Houston Rockets,Miami Heat
Denver Nuggets,Oklahoma City Thunder
Milwaukee Bucks,Toronto Raptors
