Visitor,Home,Prediction,Result,Prediction_Outcome
Golden State Warriors,Brooklyn Nets,,,
Los Angeles Lakers,Detroit Pistons,,,
Phoenix Suns,Memphis Grizzlies,,,
Sacramento Kings,Oklahoma City Thunder,,,
Dallas Mavericks,Washington Wizards,,,
