Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Boston Celtics,,,
Los Angeles Lakers,Memphis Grizzlies,,,
Denver Nuggets,Oklahoma City Thunder,,,
Portland Trail Blazers,Sacramento Kings,,,
