Visitor,Home,Prediction,Result,Prediction_Outcome
Minnesota Timberwolves,Atlanta Hawks
Portland Trail Blazers,Denver Nuggets
Detroit Pistons,Golden State Warriors
Orlando Magic,Indiana Pacers
Memphis Grizzlies,Los Angeles Clippers
Chicago Bulls,Philadelphia 76ers
San Antonio Spurs,Sacramento Kings
