Visitor,Home,Prediction,Result,Prediction_Outcome
Cleveland Cavaliers,Brooklyn Nets
Golden State Warriors,Chicago Bulls
Minnesota Timberwolves,Dallas Mavericks
Detroit Pistons,Houston Rockets
Sacramento Kings,Los Angeles Lakers
Utah Jazz,New York Knicks
Charlotte Hornets,Oklahoma City Thunder
Philadelphia 76ers,Orlando Magic
Atlanta Hawks,Portland Trail Blazers
Boston Celtics,Toronto Raptors
Miami Heat,Washington Wizards
