Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Denver Nuggets
Houston Rockets,Los Angeles Lakers
Phoenix Suns,Minnesota Timberwolves
Miami Heat,Oklahoma City Thunder
Dallas Mavericks,San Antonio Spurs
