Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Atlanta Hawks
Orlando Magic,Brooklyn Nets
Philadelphia 76ers,Chicago Bulls
Phoenix Suns,Dallas Mavericks
Houston Rockets,Denver Nuggets
Los Angeles Clippers,Detroit Pistons
Toronto Raptors,Indiana Pacers
Washington Wizards,Memphis Grizzlies
New Orleans Pelicans,Portland Trail Blazers
Utah Jazz,San Antonio Spurs
